"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 43,,,31.25,31.25,31.25,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 46,,12.98701299,,,12.98701299,12.98701299,,12.98701299,12.98701299,,,,25.97402597,,12.98701299,12.98701299,,12.98701299,12.98701299,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 49,,,,,,,,,,,,,,,,,27.77777778,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 50,,,,26.66666667,13.33333333,13.33333333,13.33333333,,,26.66666667,26.66666667,13.33333333,,13.33333333,,13.33333333,13.33333333,13.33333333,13.33333333,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 51,,,333.3333333,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 52.01,13.15789474,,,13.15789474,,13.15789474,,,,,,,,,,,,13.15789474,,13.15789474
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 52.02,22.72727273,,,,22.72727273,22.72727273,,22.72727273,,,,22.72727273,,,22.72727273,22.72727273,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 54,,23.25581395,,46.51162791,23.25581395,23.25581395,23.25581395,,,,,,23.25581395,23.25581395,,,46.51162791,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 55,,,,,,,,,,142.8571429,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 56.01,,,,,22.22222222,,,,,,,,,11.11111111,,,11.11111111,,,
