"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 228,,,,,,,,,,37.03703704,,,,,37.03703704,37.03703704,185.1851852,,37.03703704,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 229,,,,,,100,,,,,50,,,150,50,,100,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 230,,,,,,,,,,,,,,,,,111.1111111,111.1111111,,111.1111111
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 231,,,,,,,250,750,250,250,250,,,,,,250,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 232,35.71428571,,,,71.42857143,35.71428571,35.71428571,,,,,,,,35.71428571,35.71428571,,107.1428571,35.71428571,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 233,,,,,,62.5,,,,,,,62.5,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 234,,,,,,,,,,,,,,,90.90909091,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 235,,,,,,,,,,,,,,,,,500,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 237,,,,,,,,,,,,,,,,,250,250,250,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 238,,,,,,,,,,,,,,,,,,58.82352941,,58.82352941
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 240,,,,,,,,,,,,,55.55555556,,,,,,111.1111111,55.55555556
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 241,,,,,,,,142.8571429,,,,,,,,,142.8571429,,,142.8571429
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 242,,,41.66666667,,,,41.66666667,,,,,,,,41.66666667,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 243,37.03703704,,,74.07407407,,111.1111111,74.07407407,148.1481481,37.03703704,,74.07407407,111.1111111,37.03703704,,,37.03703704,74.07407407,111.1111111,,37.03703704
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 244,,,,,,,,,,,,,,,16.94915254,33.89830508,50.84745763,16.94915254,50.84745763,33.89830508
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 245,,30.3030303,,30.3030303,30.3030303,,,30.3030303,30.3030303,30.3030303,90.90909091,30.3030303,90.90909091,60.60606061,,60.60606061,60.60606061,60.60606061,60.60606061,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 246,31.25,,,,,31.25,,,,,,,,,15.625,31.25,31.25,62.5,15.625,15.625
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 247,,,,,250,,,,,,,,,,,,250,,250,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 248,,,,,,,18.86792453,18.86792453,,,18.86792453,,,,,18.86792453,,18.86792453,18.86792453,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 249,,,,,76.92307692,38.46153846,,,38.46153846,38.46153846,,,38.46153846,38.46153846,115.3846154,,38.46153846,,38.46153846,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 250,,,,,,,,,,,,,,,,,,,34.48275862,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 251,,,,47.61904762,,,,47.61904762,,,,47.61904762,47.61904762,95.23809524,142.8571429,47.61904762,95.23809524,47.61904762,47.61904762,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 252,,,16.94915254,,,,,16.94915254,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 253,,,,,,,,,,,,250,,,500,250,,,250,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 254,,,,,19.60784314,19.60784314,,,,19.60784314,,,19.60784314,19.60784314,,19.60784314,58.82352941,19.60784314,19.60784314,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 256,,,,16.39344262,32.78688525,,,,,,,,,32.78688525,81.96721311,16.39344262,16.39344262,,32.78688525,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 257,,,,,,,,142.8571429,,285.7142857,285.7142857,,,,,142.8571429,285.7142857,,142.8571429,142.8571429
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 258,25,,,,,,,,,,,,25,,,,25,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 260,,22.22222222,22.22222222,,,,,,,,,,22.22222222,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 261,,,,,,,90.90909091,,,,,90.90909091,90.90909091,90.90909091,90.90909091,,181.8181818,181.8181818,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 263,125,125,125,,,125,,,125,250,,,,125,125,125,125,125,125,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 264,15.625,15.625,,15.625,,,,,,,,,15.625,15.625,,,15.625,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 265,,,55.55555556,55.55555556,55.55555556,111.1111111,55.55555556,83.33333333,83.33333333,55.55555556,,111.1111111,83.33333333,83.33333333,83.33333333,55.55555556,83.33333333,27.77777778,55.55555556,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 266,,38.46153846,38.46153846,,,,,,,,,,,,,38.46153846,,38.46153846,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 267,,,28.57142857,57.14285714,57.14285714,85.71428571,57.14285714,28.57142857,28.57142857,,28.57142857,28.57142857,,28.57142857,85.71428571,57.14285714,85.71428571,57.14285714,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 269,,,,,333.3333333,,,,,,,,166.6666667,166.6666667,,,166.6666667,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 270,,,,,,,,,,,,,,,50,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 271.01,,,,,,,,,,,76.92307692,,76.92307692,76.92307692,76.92307692,76.92307692,153.8461538,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 271.02,26.66666667,26.66666667,26.66666667,26.66666667,40,40,40,,40,40,13.33333333,,26.66666667,26.66666667,40,13.33333333,40,13.33333333,13.33333333,13.33333333
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 272,43.47826087,,,,,,,,,,,,,,,21.73913043,21.73913043,21.73913043,21.73913043,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 275,,,,,,,,58.82352941,,,,58.82352941,,58.82352941,117.6470588,,58.82352941,58.82352941,58.82352941,58.82352941
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 277,,,40,40,,80,80,,80,80,40,40,80,,80,40,,160,40,40
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 278,,,,,62.5,,,,,62.5,,,62.5,,62.5,,,62.5,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 279,41.66666667,,41.66666667,41.66666667,83.33333333,83.33333333,41.66666667,41.66666667,,41.66666667,41.66666667,41.66666667,41.66666667,,83.33333333,83.33333333,41.66666667,83.33333333,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 280,,,,,,,,,90.90909091,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 282,41.66666667,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 283,,,,,,29.41176471,,,,,,,,29.41176471,,,,58.82352941,,29.41176471
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 284,,,,,,,55.55555556,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 287,,,,,142.8571429,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 289,,,,166.6666667,,,,166.6666667,,,,,,,166.6666667,,333.3333333,166.6666667,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 291,,76.92307692,,76.92307692,153.8461538,153.8461538,76.92307692,153.8461538,,153.8461538,76.92307692,76.92307692,,153.8461538,307.6923077,153.8461538,230.7692308,76.92307692,230.7692308,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 292,,,,,,,,,,,,,,,,,,,125,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 293,,55.55555556,55.55555556,,,55.55555556,,,55.55555556,,,55.55555556,55.55555556,222.2222222,,111.1111111,,,55.55555556,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 295,,,,58.82352941,,,,58.82352941,,,,,,,,,,117.6470588,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 297,,,,,,90.90909091,90.90909091,,,181.8181818,90.90909091,,,,,,,,,90.90909091
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 298,,,26.31578947,,,,,,,,26.31578947,,,,,26.31578947,26.31578947,,26.31578947,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 299,,,133.3333333,66.66666667,,133.3333333,133.3333333,133.3333333,,66.66666667,133.3333333,66.66666667,200,,66.66666667,200,66.66666667,66.66666667,133.3333333,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 300,,,,,,30.3030303,,,,,,30.3030303,,30.3030303,30.3030303,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 301,,,,,76.92307692,,,76.92307692,,,,76.92307692,76.92307692,76.92307692,76.92307692,76.92307692,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 302,,29.41176471,,,,,,,,,29.41176471,29.41176471,29.41176471,29.41176471,,29.41176471,,29.41176471,29.41176471,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 303,333.3333333,,,,333.3333333,,,,333.3333333,,,,333.3333333,,,333.3333333,,,333.3333333,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 304,,,,20.40816327,20.40816327,,,,,,,20.40816327,,,40.81632653,20.40816327,,,20.40816327,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 306,,,34.48275862,,,,,,,,,34.48275862,,,,,34.48275862,,34.48275862,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 307,,,,,,,,,,,,,58.82352941,,58.82352941,58.82352941,,,58.82352941,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 308,,,,,,,33.33333333,,,,,,,33.33333333,66.66666667,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 309,,58.82352941,58.82352941,58.82352941,,,58.82352941,,,58.82352941,117.6470588,117.6470588,176.4705882,117.6470588,58.82352941,294.1176471,294.1176471,117.6470588,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 311,,,,,,,55.55555556,222.2222222,166.6666667,,55.55555556,,,111.1111111,55.55555556,111.1111111,166.6666667,,55.55555556,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 313,74.07407407,37.03703704,74.07407407,37.03703704,37.03703704,,,37.03703704,148.1481481,,37.03703704,,,37.03703704,,37.03703704,148.1481481,74.07407407,74.07407407,37.03703704
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 314,14.28571429,,,14.28571429,,,,14.28571429,,14.28571429,28.57142857,,14.28571429,,28.57142857,28.57142857,14.28571429,14.28571429,28.57142857,14.28571429
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 315,,,,,,,41.66666667,41.66666667,,,,,,,83.33333333,41.66666667,83.33333333,41.66666667,83.33333333,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 317.01,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,74.07407407,37.03703704,74.07407407,,37.03703704,,74.07407407,37.03703704,37.03703704,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 317.02,66.66666667,,,,,,,,33.33333333,33.33333333,,,,66.66666667,,33.33333333,,66.66666667,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 319,55.55555556,,,,,111.1111111,,,55.55555556,55.55555556,55.55555556,,,,,,111.1111111,55.55555556,55.55555556,55.55555556
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 321,,,45.45454545,45.45454545,22.72727273,,22.72727273,22.72727273,22.72727273,22.72727273,22.72727273,,22.72727273,45.45454545,22.72727273,45.45454545,22.72727273,45.45454545,,22.72727273
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 323,35.0877193,,,,17.54385965,52.63157895,35.0877193,,17.54385965,,35.0877193,17.54385965,52.63157895,70.1754386,,17.54385965,17.54385965,17.54385965,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 325,64.51612903,,32.25806452,,,161.2903226,,32.25806452,,32.25806452,,,129.0322581,,161.2903226,64.51612903,64.51612903,32.25806452,64.51612903,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 326,15.7480315,,23.62204724,31.49606299,31.49606299,,31.49606299,23.62204724,,23.62204724,,23.62204724,7.874015748,15.7480315,15.7480315,,15.7480315,,,15.7480315
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 327,25,25,,,,,,,,,,,50,,,25,50,25,25,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 328,15.625,,7.8125,7.8125,7.8125,7.8125,15.625,23.4375,,15.625,7.8125,15.625,7.8125,39.0625,23.4375,15.625,23.4375,70.3125,7.8125,7.8125
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 329,31.74603175,47.61904762,,,31.74603175,31.74603175,47.61904762,,,31.74603175,,,15.87301587,,,,,31.74603175,,
