"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 38,,,,,,,,,,,,,,,,250,250,,250,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 39,40,,,,40,,,,,,,40,40,,,40,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 41,33.33333333,,,33.33333333,,,33.33333333,,,,,33.33333333,,,,,33.33333333,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 43,55.55555556,55.55555556,27.77777778,55.55555556,83.33333333,,,,,,,,27.77777778,,,,27.77777778,,27.77777778,27.77777778
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 45,,46.51162791,,,23.25581395,,,,,,,,,,,,23.25581395,,,23.25581395
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 47,105.2631579,,157.8947368,,52.63157895,52.63157895,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 49,,,,,,,,,,,,52.63157895,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 51,,,,,,71.42857143,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 52.02,71.42857143,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 55,,,,,,,,,,,,,,,200,,,,,
