"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 219,17.54385965,52.63157895,35.0877193,52.63157895,35.0877193,35.0877193,17.54385965,17.54385965,,,,70.1754386,,17.54385965,35.0877193,35.0877193,17.54385965,17.54385965,35.0877193,17.54385965
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 221,60,60,80,40,60,,60,60,20,60,,20,20,,20,20,20,100,,20
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 222,,,,,,,,47.61904762,95.23809524,95.23809524,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 223,13.69863014,41.09589041,13.69863014,27.39726027,27.39726027,13.69863014,27.39726027,13.69863014,13.69863014,,13.69863014,13.69863014,13.69863014,27.39726027,13.69863014,13.69863014,41.09589041,41.09589041,,13.69863014
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 224,,,,40,,,40,,,,,,,,,,40,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 225,,,,,,181.8181818,45.45454545,,,45.45454545,45.45454545,,45.45454545,90.90909091,45.45454545,,,45.45454545,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 226,50,,50,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 227,20.83333333,41.66666667,20.83333333,,,41.66666667,41.66666667,41.66666667,,20.83333333,41.66666667,,20.83333333,,20.83333333,41.66666667,62.5,41.66666667,20.83333333,20.83333333
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 228,,,,,,,,,,,,,,,,,,,38.46153846,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 229,,21.27659574,,21.27659574,63.82978723,21.27659574,21.27659574,42.55319149,63.82978723,85.10638298,,85.10638298,,21.27659574,63.82978723,21.27659574,21.27659574,85.10638298,,21.27659574
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 231,21.73913043,43.47826087,,,21.73913043,43.47826087,,,21.73913043,21.73913043,21.73913043,,,,43.47826087,21.73913043,86.95652174,65.2173913,21.73913043,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 232,28.57142857,,,,,,,,,,85.71428571,,,57.14285714,,28.57142857,114.2857143,28.57142857,,28.57142857
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 233,,25.64102564,25.64102564,25.64102564,76.92307692,,25.64102564,,25.64102564,128.2051282,51.28205128,76.92307692,,25.64102564,,,25.64102564,25.64102564,25.64102564,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 234,,,,,,,,,,,,,,,,,,,142.8571429,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 235,,28.57142857,,,,57.14285714,28.57142857,28.57142857,,28.57142857,,,,,171.4285714,,28.57142857,85.71428571,85.71428571,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 236,,,,,,,,,,,55.55555556,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 237,,,,,51.28205128,,,,,,,51.28205128,,,25.64102564,,51.28205128,,25.64102564,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 238,,,,,,,,,,,,,,,,,,,66.66666667,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 241,,,,,,,,,71.42857143,35.71428571,,,71.42857143,,,,,35.71428571,142.8571429,35.71428571
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 243,26.31578947,26.31578947,26.31578947,26.31578947,,26.31578947,26.31578947,78.94736842,131.5789474,26.31578947,52.63157895,26.31578947,26.31578947,26.31578947,52.63157895,,52.63157895,78.94736842,52.63157895,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 245,19.60784314,,,19.60784314,,19.60784314,19.60784314,19.60784314,19.60784314,,39.21568627,,,19.60784314,39.21568627,,19.60784314,,19.60784314,19.60784314
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 247,,57.14285714,,,,28.57142857,,28.57142857,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 248,,,,,,,,62.5,,,,,,,,,62.5,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 249,47.61904762,79.36507937,31.74603175,15.87301587,47.61904762,31.74603175,31.74603175,126.984127,15.87301587,31.74603175,95.23809524,31.74603175,31.74603175,15.87301587,63.49206349,95.23809524,63.49206349,15.87301587,31.74603175,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 251,23.25581395,,23.25581395,69.76744186,,23.25581395,,46.51162791,,,69.76744186,,46.51162791,46.51162791,,,69.76744186,23.25581395,,46.51162791
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 253,,,,,,,,,,,,,,,,,,105.2631579,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 257,,,,,,43.47826087,43.47826087,,,43.47826087,86.95652174,,,43.47826087,,43.47826087,86.95652174,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 258,,,,,,,,,,,80,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 259.01,,55.55555556,,,55.55555556,55.55555556,,55.55555556,,55.55555556,,,,,,,111.1111111,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 260,,125,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 261,60,,20,20,,,40,40,20,,,,20,,20,20,40,60,20,20
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 263,83.33333333,,83.33333333,,83.33333333,,,83.33333333,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 264,,30.3030303,,,30.3030303,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 265,25,25,,,25,,75,,25,25,25,25,25,,,25,25,25,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 266,111.1111111,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 267,20.83333333,,41.66666667,20.83333333,,20.83333333,62.5,,20.83333333,41.66666667,,,20.83333333,,20.83333333,41.66666667,41.66666667,,20.83333333,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 268,,,,,,,,,,,,,,,,,22.72727273,22.72727273,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 269,47.61904762,,,,,23.80952381,,71.42857143,23.80952381,,95.23809524,,,23.80952381,23.80952381,95.23809524,,47.61904762,119.047619,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 270,,100,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 271.01,,,,,76.92307692,,,,,,230.7692308,76.92307692,,153.8461538,,76.92307692,76.92307692,76.92307692,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 271.02,,,,,,,,,90.90909091,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 272,28.57142857,,,,28.57142857,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 273,95.23809524,,47.61904762,,,,,,,47.61904762,,95.23809524,47.61904762,47.61904762,,47.61904762,47.61904762,47.61904762,95.23809524,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 274,,,90.90909091,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 275,,,25.64102564,51.28205128,,51.28205128,,76.92307692,25.64102564,76.92307692,,25.64102564,,76.92307692,51.28205128,25.64102564,25.64102564,102.5641026,51.28205128,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 276,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 277,,35.71428571,,35.71428571,71.42857143,71.42857143,71.42857143,,107.1428571,71.42857143,35.71428571,71.42857143,35.71428571,142.8571429,107.1428571,35.71428571,142.8571429,,,35.71428571
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 278,,,,,,,,,,,,105.2631579,,,,,52.63157895,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 279,,,,,40,,,80,,,,,,,40,120,,80,80,40
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 281,30.3030303,,,30.3030303,,30.3030303,,30.3030303,60.60606061,30.3030303,30.3030303,,,30.3030303,,,151.5151515,60.60606061,60.60606061,30.3030303
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 282,,62.5,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 283,52.63157895,,52.63157895,,52.63157895,26.31578947,26.31578947,52.63157895,,26.31578947,26.31578947,,78.94736842,26.31578947,,52.63157895,52.63157895,78.94736842,26.31578947,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 284,,,,,,66.66666667,66.66666667,,,,,,,66.66666667,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 287,76.92307692,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 288,,,,,,,,,,,,,71.42857143,,,,,,71.42857143,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 289,,48.7804878,,97.56097561,24.3902439,24.3902439,97.56097561,73.17073171,,24.3902439,24.3902439,24.3902439,,24.3902439,73.17073171,24.3902439,73.17073171,48.7804878,24.3902439,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 291,,51.28205128,,,25.64102564,25.64102564,25.64102564,,,76.92307692,51.28205128,,128.2051282,128.2051282,102.5641026,76.92307692,51.28205128,25.64102564,51.28205128,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 292,71.42857143,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 293,35.71428571,,,,,,,35.71428571,35.71428571,,,,,,35.71428571,,35.71428571,35.71428571,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 295,,,55.55555556,,27.77777778,,27.77777778,27.77777778,27.77777778,,27.77777778,,27.77777778,83.33333333,55.55555556,,55.55555556,,27.77777778,27.77777778
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 296,86.95652174,43.47826087,43.47826087,,,43.47826087,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 297,,43.47826087,,,130.4347826,,,,,,86.95652174,43.47826087,,43.47826087,43.47826087,,43.47826087,,43.47826087,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 298,,,,,,,35.71428571,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 299,,,,,,,,,,166.6666667,,,,,,,166.6666667,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 300,,,,,,,,,,,,,,,,,,,45.45454545,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 301,,66.66666667,,,66.66666667,133.3333333,66.66666667,133.3333333,,,,133.3333333,133.3333333,66.66666667,66.66666667,,,,66.66666667,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 302,,,,,,,,,,,,,,,,,,,90.90909091,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 303,21.27659574,,21.27659574,21.27659574,,,63.82978723,,,21.27659574,21.27659574,21.27659574,21.27659574,21.27659574,21.27659574,21.27659574,63.82978723,,85.10638298,21.27659574
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 304,166.6666667,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 306,,,,,166.6666667,,,,,,,,,,,,,166.6666667,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 307,,47.61904762,,,,,,47.61904762,,95.23809524,47.61904762,47.61904762,,,,,,47.61904762,47.61904762,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 308,,,,,,,,,,,,,,111.1111111,,,,333.3333333,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 311,,25.64102564,25.64102564,51.28205128,25.64102564,25.64102564,76.92307692,25.64102564,,51.28205128,,25.64102564,,,51.28205128,,25.64102564,,25.64102564,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 313,,17.85714286,35.71428571,35.71428571,35.71428571,,53.57142857,17.85714286,17.85714286,35.71428571,53.57142857,,,17.85714286,35.71428571,53.57142857,71.42857143,,17.85714286,17.85714286
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 314,,,66.66666667,66.66666667,,,,,,,,,,,,,66.66666667,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 315,42.25352113,42.25352113,,14.08450704,56.33802817,70.42253521,112.6760563,42.25352113,84.50704225,98.5915493,70.42253521,56.33802817,56.33802817,42.25352113,126.7605634,42.25352113,70.42253521,70.42253521,28.16901408,28.16901408
