"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",249,9.433962264,18.86792453,18.86792453,37.73584906,132.0754717,75.47169811,122.6415094,113.2075472,84.90566038,75.47169811,179.245283,103.7735849,132.0754717,122.6415094,150.9433962,141.509434,113.2075472,141.509434,94.33962264,28.30188679
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",250,,10.1010101,,,,10.1010101,10.1010101,10.1010101,,,,,10.1010101,10.1010101,20.2020202,20.2020202,20.2020202,10.1010101,10.1010101,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",251,31.25,7.8125,23.4375,31.25,39.0625,31.25,23.4375,85.9375,46.875,85.9375,23.4375,70.3125,54.6875,156.25,140.625,109.375,101.5625,85.9375,78.125,15.625
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",252,7.692307692,7.692307692,7.692307692,7.692307692,23.07692308,,,15.38461538,,,,,,,,,53.84615385,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",253,48.07692308,57.69230769,38.46153846,38.46153846,144.2307692,115.3846154,76.92307692,57.69230769,105.7692308,67.30769231,125,86.53846154,125,230.7692308,201.9230769,173.0769231,221.1538462,105.7692308,173.0769231,38.46153846
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",254,12.19512195,,,,12.19512195,36.58536585,24.3902439,,12.19512195,12.19512195,,,12.19512195,12.19512195,36.58536585,12.19512195,85.36585366,73.17073171,36.58536585,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",256,,25.3164557,12.65822785,37.97468354,25.3164557,,12.65822785,,,,,,,50.63291139,75.94936709,12.65822785,12.65822785,,25.3164557,12.65822785
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",257,,18.69158879,9.345794393,,46.72897196,,18.69158879,9.345794393,9.345794393,18.69158879,46.72897196,46.72897196,56.07476636,37.38317757,18.69158879,46.72897196,102.8037383,84.11214953,56.07476636,37.38317757
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",258,12.98701299,,12.98701299,,,12.98701299,,,,12.98701299,,,12.98701299,,12.98701299,12.98701299,25.97402597,,12.98701299,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",259.01,16.12903226,16.12903226,32.25806452,32.25806452,48.38709677,64.51612903,96.77419355,112.9032258,64.51612903,96.77419355,96.77419355,16.12903226,16.12903226,112.9032258,129.0322581,96.77419355,209.6774194,112.9032258,80.64516129,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",260,24.3902439,36.58536585,12.19512195,24.3902439,12.19512195,,,24.3902439,12.19512195,,,,12.19512195,,,12.19512195,,12.19512195,12.19512195,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",261,36.49635036,36.49635036,21.89781022,58.39416058,36.49635036,131.3868613,72.99270073,131.3868613,72.99270073,102.189781,102.189781,116.7883212,138.6861314,160.5839416,270.0729927,197.080292,262.7737226,248.1751825,124.0875912,65.69343066
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",262,,,11.11111111,11.11111111,,,,22.22222222,,,,,,11.11111111,11.11111111,11.11111111,,,11.11111111,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",263,37.97468354,25.3164557,37.97468354,75.94936709,25.3164557,101.2658228,126.5822785,50.63291139,101.2658228,113.9240506,113.9240506,113.9240506,139.2405063,139.2405063,215.1898734,177.2151899,151.8987342,164.556962,101.2658228,12.65822785
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",264,10.75268817,10.75268817,,10.75268817,,,10.75268817,,,,,10.75268817,10.75268817,10.75268817,32.25806452,21.50537634,10.75268817,21.50537634,43.01075269,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",265,55.55555556,77.77777778,44.44444444,133.3333333,111.1111111,200,211.1111111,144.4444444,177.7777778,122.2222222,177.7777778,122.2222222,177.7777778,255.5555556,277.7777778,288.8888889,266.6666667,244.4444444,200,66.66666667
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",266,12.19512195,12.19512195,12.19512195,,,,,12.19512195,12.19512195,12.19512195,,,12.19512195,,36.58536585,24.3902439,36.58536585,24.3902439,12.19512195,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",267,95.23809524,95.23809524,71.42857143,130.952381,142.8571429,166.6666667,83.33333333,285.7142857,142.8571429,47.61904762,119.047619,107.1428571,95.23809524,166.6666667,357.1428571,261.9047619,333.3333333,214.2857143,190.4761905,35.71428571
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",268,13.69863014,27.39726027,13.69863014,,27.39726027,13.69863014,,,,27.39726027,,,13.69863014,27.39726027,13.69863014,,27.39726027,13.69863014,27.39726027,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",269,25,62.5,12.5,62.5,62.5,37.5,37.5,75,75,62.5,87.5,25,50,75,125,50,100,112.5,62.5,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",270,,14.08450704,,28.16901408,28.16901408,14.08450704,14.08450704,,,14.08450704,,,14.08450704,,42.25352113,,14.08450704,,28.16901408,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",271.01,21.97802198,10.98901099,10.98901099,32.96703297,32.96703297,10.98901099,43.95604396,54.94505495,32.96703297,32.96703297,76.92307692,32.96703297,76.92307692,142.8571429,76.92307692,164.8351648,142.8571429,43.95604396,87.91208791,10.98901099
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",271.02,24.09638554,24.09638554,24.09638554,36.14457831,36.14457831,36.14457831,36.14457831,,36.14457831,48.19277108,24.09638554,,48.19277108,24.09638554,72.28915663,24.09638554,48.19277108,48.19277108,24.09638554,12.04819277
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",272,41.66666667,,13.88888889,,,13.88888889,,,,,,,,13.88888889,13.88888889,13.88888889,27.77777778,41.66666667,13.88888889,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",273,64.1025641,76.92307692,,64.1025641,89.74358974,205.1282051,89.74358974,64.1025641,51.28205128,76.92307692,25.64102564,38.46153846,38.46153846,64.1025641,102.5641026,64.1025641,128.2051282,51.28205128,141.025641,25.64102564
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",274,,,12.19512195,24.3902439,24.3902439,24.3902439,12.19512195,,,12.19512195,12.19512195,,36.58536585,12.19512195,12.19512195,,12.19512195,12.19512195,12.19512195,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",275,52.63157895,31.57894737,84.21052632,52.63157895,84.21052632,84.21052632,178.9473684,210.5263158,115.7894737,168.4210526,168.4210526,126.3157895,94.73684211,168.4210526,305.2631579,221.0526316,210.5263158,284.2105263,168.4210526,63.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",276,,,,,11.49425287,,11.49425287,22.98850575,,11.49425287,22.98850575,,,,22.98850575,11.49425287,11.49425287,11.49425287,11.49425287,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",277,24.69135802,61.72839506,49.38271605,111.1111111,148.1481481,135.8024691,111.1111111,135.8024691,172.8395062,209.8765432,234.5679012,259.2592593,185.1851852,197.5308642,358.0246914,197.5308642,148.1481481,333.3333333,148.1481481,12.34567901
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",278,,11.76470588,,,11.76470588,,,,,35.29411765,,11.76470588,11.76470588,,23.52941176,,23.52941176,47.05882353,11.76470588,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",279,75,41.66666667,83.33333333,41.66666667,133.3333333,125,141.6666667,191.6666667,116.6666667,125,150,150,100,166.6666667,333.3333333,208.3333333,258.3333333,191.6666667,133.3333333,33.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",280,6.993006993,,6.993006993,6.993006993,6.993006993,,,,13.98601399,,,,,,13.98601399,6.993006993,13.98601399,,6.993006993,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",281,34.48275862,,91.95402299,34.48275862,45.97701149,45.97701149,91.95402299,34.48275862,45.97701149,68.96551724,80.45977011,34.48275862,80.45977011,183.908046,195.4022989,137.9310345,275.862069,149.4252874,114.9425287,57.47126437
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",282,29.41176471,19.60784314,,19.60784314,,9.803921569,,,,,,,,19.60784314,9.803921569,,,,9.803921569,9.803921569
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",283,30.6122449,51.02040816,20.40816327,51.02040816,30.6122449,71.42857143,81.63265306,61.2244898,30.6122449,30.6122449,61.2244898,20.40816327,20.40816327,61.2244898,91.83673469,81.63265306,132.6530612,142.8571429,61.2244898,51.02040816
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",284,21.50537634,,21.50537634,,10.75268817,10.75268817,21.50537634,,,,,10.75268817,10.75268817,,,32.25806452,21.50537634,21.50537634,10.75268817,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",285.01,,,,,,,,,,,,,,,,,,,285.7142857,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",286,,,,,,,,,,,31.25,,,,15.625,,15.625,15.625,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",287,10.52631579,10.52631579,10.52631579,42.10526316,105.2631579,63.15789474,94.73684211,84.21052632,42.10526316,52.63157895,73.68421053,94.73684211,84.21052632,126.3157895,115.7894737,84.21052632,221.0526316,84.21052632,52.63157895,52.63157895
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",288,,,,,,,,,13.69863014,,13.69863014,,,,,13.69863014,27.39726027,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",289,7.633587786,15.26717557,,30.53435115,68.70229008,38.16793893,53.4351145,76.33587786,45.80152672,38.16793893,53.4351145,61.06870229,76.33587786,99.23664122,190.8396947,91.60305344,114.5038168,221.3740458,45.80152672,15.26717557
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",290,,,,14.49275362,,14.49275362,,,,,28.98550725,14.49275362,28.98550725,,28.98550725,14.49275362,,28.98550725,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",291,51.72413793,86.20689655,17.24137931,112.0689655,137.9310345,137.9310345,112.0689655,94.82758621,86.20689655,172.4137931,146.5517241,112.0689655,155.1724138,224.137931,293.1034483,250,224.137931,258.6206897,103.4482759,43.10344828
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",292,,14.92537313,,,,,,,14.92537313,,,14.92537313,,14.92537313,,,,29.85074627,14.92537313,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",293,47.05882353,58.82352941,35.29411765,70.58823529,70.58823529,129.4117647,152.9411765,82.35294118,117.6470588,105.8823529,105.8823529,70.58823529,176.4705882,235.2941176,223.5294118,235.2941176,200,235.2941176,117.6470588,47.05882353
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",294,,16.66666667,,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,16.66666667,,16.66666667,,,16.66666667,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",295,34.88372093,58.13953488,58.13953488,93.02325581,46.51162791,93.02325581,151.1627907,93.02325581,139.5348837,197.6744186,139.5348837,69.76744186,58.13953488,174.4186047,232.5581395,267.4418605,220.9302326,279.0697674,162.7906977,69.76744186
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",296,,25.64102564,12.82051282,,12.82051282,,,,,,,,,12.82051282,12.82051282,12.82051282,38.46153846,12.82051282,12.82051282,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",297,23.52941176,35.29411765,23.52941176,47.05882353,94.11764706,105.8823529,129.4117647,82.35294118,105.8823529,188.2352941,94.11764706,105.8823529,141.1764706,188.2352941,247.0588235,152.9411765,305.8823529,211.7647059,141.1764706,58.82352941
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",298,,12.5,12.5,,,,12.5,,,25,62.5,12.5,12.5,50,25,25,62.5,12.5,25,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",299,11.49425287,22.98850575,91.95402299,80.45977011,22.98850575,68.96551724,80.45977011,34.48275862,22.98850575,103.4482759,126.4367816,103.4482759,91.95402299,149.4252874,241.3793103,252.8735632,183.908046,206.8965517,275.862069,45.97701149
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",300,,,,12.5,,25,,25,,,,25,,25,25,12.5,,25,25,12.5
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",301,9.433962264,28.30188679,56.60377358,94.33962264,122.6415094,84.90566038,141.509434,103.7735849,141.509434,84.90566038,84.90566038,198.1132075,179.245283,226.4150943,339.6226415,226.4150943,198.1132075,254.7169811,179.245283,132.0754717
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",302,30.6122449,10.20408163,20.40816327,,40.81632653,10.20408163,,20.40816327,,20.40816327,20.40816327,10.20408163,30.6122449,20.40816327,,20.40816327,20.40816327,20.40816327,40.81632653,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",303,21.27659574,21.27659574,7.092198582,7.092198582,49.64539007,42.55319149,49.64539007,42.55319149,35.46099291,92.19858156,92.19858156,85.10638298,70.92198582,113.4751773,198.5815603,148.9361702,134.751773,134.751773,106.3829787,35.46099291
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",304,25,,12.5,12.5,37.5,,12.5,25,25,,,37.5,12.5,12.5,50,25,37.5,25,25,12.5
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",306,22.47191011,,22.47191011,11.23595506,,,22.47191011,11.23595506,11.23595506,33.70786517,11.23595506,11.23595506,11.23595506,11.23595506,11.23595506,22.47191011,22.47191011,22.47191011,22.47191011,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",307,23.80952381,15.87301587,15.87301587,15.87301587,47.61904762,15.87301587,63.49206349,71.42857143,31.74603175,95.23809524,71.42857143,63.49206349,71.42857143,119.047619,150.7936508,79.36507937,142.8571429,150.7936508,79.36507937,55.55555556
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",308,,,,18.01801802,18.01801802,27.02702703,18.01801802,18.01801802,18.01801802,9.009009009,9.009009009,27.02702703,9.009009009,36.03603604,54.05405405,,18.01801802,27.02702703,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",309,11.23595506,11.23595506,33.70786517,56.17977528,67.41573034,22.47191011,67.41573034,44.94382022,22.47191011,44.94382022,56.17977528,67.41573034,67.41573034,78.65168539,123.5955056,157.3033708,112.3595506,101.1235955,67.41573034,22.47191011
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",311,31.57894737,52.63157895,31.57894737,52.63157895,84.21052632,63.15789474,105.2631579,126.3157895,126.3157895,105.2631579,115.7894737,42.10526316,115.7894737,136.8421053,200,147.3684211,284.2105263,189.4736842,94.73684211,63.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",313,80,13.33333333,80,146.6666667,106.6666667,80,120,66.66666667,106.6666667,53.33333333,80,80,,66.66666667,26.66666667,80,173.3333333,120,93.33333333,40
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",314,23.62204724,,,23.62204724,7.874015748,7.874015748,15.7480315,31.49606299,,7.874015748,15.7480315,7.874015748,23.62204724,,15.7480315,39.37007874,39.37007874,15.7480315,15.7480315,7.874015748
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",315,27.39726027,27.39726027,27.39726027,54.79452055,27.39726027,68.49315068,54.79452055,82.19178082,123.2876712,41.09589041,68.49315068,123.2876712,54.79452055,27.39726027,54.79452055,82.19178082,95.89041096,95.89041096,54.79452055,13.69863014
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",317.01,55.55555556,41.66666667,55.55555556,27.77777778,27.77777778,97.22222222,97.22222222,41.66666667,41.66666667,55.55555556,41.66666667,83.33333333,69.44444444,55.55555556,83.33333333,97.22222222,111.1111111,55.55555556,55.55555556,27.77777778
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",317.02,68.18181818,34.09090909,11.36363636,45.45454545,45.45454545,56.81818182,68.18181818,45.45454545,68.18181818,56.81818182,45.45454545,90.90909091,79.54545455,113.6363636,68.18181818,45.45454545,45.45454545,113.6363636,56.81818182,45.45454545
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",319,16.66666667,16.66666667,,50,50,33.33333333,,16.66666667,33.33333333,50,33.33333333,50,33.33333333,33.33333333,50,,166.6666667,116.6666667,33.33333333,16.66666667
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",320,41.66666667,,,,41.66666667,,,41.66666667,,41.66666667,,,,,,41.66666667,,41.66666667,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",321,17.54385965,17.54385965,35.0877193,52.63157895,17.54385965,,17.54385965,17.54385965,17.54385965,17.54385965,35.0877193,17.54385965,17.54385965,35.0877193,105.2631579,35.0877193,52.63157895,87.71929825,52.63157895,52.63157895
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",323,19.60784314,19.60784314,,19.60784314,49.01960784,39.21568627,29.41176471,9.803921569,29.41176471,9.803921569,29.41176471,9.803921569,39.21568627,58.82352941,39.21568627,29.41176471,98.03921569,29.41176471,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",325,37.03703704,18.51851852,37.03703704,,,111.1111111,18.51851852,18.51851852,18.51851852,37.03703704,18.51851852,18.51851852,74.07407407,,92.59259259,37.03703704,55.55555556,18.51851852,37.03703704,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",326,13.15789474,,19.73684211,32.89473684,26.31578947,13.15789474,32.89473684,26.31578947,,26.31578947,,19.73684211,6.578947368,26.31578947,13.15789474,6.578947368,26.31578947,19.73684211,6.578947368,19.73684211
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",327,50.63291139,12.65822785,,12.65822785,12.65822785,37.97468354,,25.3164557,12.65822785,25.3164557,12.65822785,,25.3164557,,12.65822785,12.65822785,50.63291139,37.97468354,25.3164557,12.65822785
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",328,23.4375,,7.8125,7.8125,23.4375,23.4375,15.625,23.4375,,23.4375,7.8125,15.625,7.8125,39.0625,31.25,15.625,39.0625,70.3125,23.4375,7.8125
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",329,26.31578947,52.63157895,,,26.31578947,39.47368421,52.63157895,39.47368421,26.31578947,52.63157895,13.15789474,,13.15789474,26.31578947,13.15789474,39.47368421,52.63157895,92.10526316,52.63157895,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",330,13.69863014,41.09589041,13.69863014,27.39726027,27.39726027,54.79452055,13.69863014,27.39726027,27.39726027,13.69863014,41.09589041,13.69863014,,,68.49315068,,54.79452055,13.69863014,13.69863014,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",331,27.02702703,27.02702703,13.51351351,,13.51351351,13.51351351,40.54054054,27.02702703,,13.51351351,,,27.02702703,13.51351351,27.02702703,13.51351351,40.54054054,54.05405405,13.51351351,13.51351351
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",333,43.01075269,75.2688172,32.25806452,21.50537634,53.76344086,10.75268817,32.25806452,21.50537634,43.01075269,53.76344086,21.50537634,,10.75268817,10.75268817,21.50537634,53.76344086,86.02150538,53.76344086,43.01075269,21.50537634
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",335,58.13953488,104.6511628,,23.25581395,46.51162791,69.76744186,46.51162791,58.13953488,58.13953488,34.88372093,46.51162791,46.51162791,34.88372093,46.51162791,69.76744186,58.13953488,186.0465116,93.02325581,58.13953488,69.76744186
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",336,172.4137931,155.1724138,103.4482759,120.6896552,86.20689655,137.9310345,120.6896552,60.34482759,94.82758621,94.82758621,86.20689655,60.34482759,51.72413793,86.20689655,146.5517241,103.4482759,301.7241379,120.6896552,86.20689655,94.82758621
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",337,33.70786517,22.47191011,33.70786517,56.17977528,78.65168539,22.47191011,33.70786517,123.5955056,22.47191011,56.17977528,56.17977528,44.94382022,44.94382022,44.94382022,89.88764045,89.88764045,112.3595506,56.17977528,67.41573034,22.47191011
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",339,19.41747573,38.83495146,19.41747573,29.12621359,58.25242718,77.66990291,38.83495146,87.37864078,48.54368932,87.37864078,116.5048544,58.25242718,87.37864078,106.7961165,194.1747573,67.96116505,203.8834951,126.2135922,97.08737864,29.12621359
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",341,32.78688525,49.18032787,32.78688525,16.39344262,32.78688525,32.78688525,32.78688525,16.39344262,16.39344262,49.18032787,65.57377049,65.57377049,49.18032787,16.39344262,65.57377049,49.18032787,32.78688525,16.39344262,16.39344262,16.39344262
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",342,,,,,,,22.22222222,,,,,11.11111111,11.11111111,,,,22.22222222,11.11111111,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",343,66.66666667,22.22222222,11.11111111,77.77777778,77.77777778,88.88888889,44.44444444,77.77777778,33.33333333,55.55555556,66.66666667,66.66666667,44.44444444,33.33333333,122.2222222,77.77777778,222.2222222,88.88888889,66.66666667,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",345,45.45454545,45.45454545,79.54545455,125,45.45454545,45.45454545,90.90909091,102.2727273,79.54545455,113.6363636,79.54545455,45.45454545,68.18181818,90.90909091,250,147.7272727,204.5454545,227.2727273,147.7272727,68.18181818
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",347,12.98701299,,,77.92207792,12.98701299,12.98701299,12.98701299,51.94805195,25.97402597,64.93506494,25.97402597,38.96103896,51.94805195,77.92207792,129.8701299,116.8831169,155.8441558,142.8571429,51.94805195,64.93506494
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",348.01,,37.03703704,,,,55.55555556,37.03703704,18.51851852,,55.55555556,,,,,,,37.03703704,,37.03703704,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",348.02,16.66666667,,33.33333333,,,,,33.33333333,,16.66666667,,,16.66666667,,,16.66666667,,16.66666667,16.66666667,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",349,25.97402597,38.96103896,12.98701299,77.92207792,90.90909091,25.97402597,38.96103896,64.93506494,77.92207792,90.90909091,38.96103896,38.96103896,64.93506494,116.8831169,38.96103896,116.8831169,90.90909091,90.90909091,90.90909091,25.97402597
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",351,44.11764706,14.70588235,29.41176471,14.70588235,44.11764706,14.70588235,14.70588235,14.70588235,,102.9411765,29.41176471,29.41176471,,44.11764706,,44.11764706,58.82352941,117.6470588,29.41176471,14.70588235
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",353,27.39726027,68.49315068,41.09589041,82.19178082,41.09589041,27.39726027,95.89041096,41.09589041,41.09589041,,27.39726027,41.09589041,27.39726027,54.79452055,13.69863014,13.69863014,109.5890411,95.89041096,41.09589041,41.09589041
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",355,51.72413793,,34.48275862,34.48275862,17.24137931,68.96551724,34.48275862,34.48275862,17.24137931,17.24137931,34.48275862,34.48275862,17.24137931,17.24137931,,34.48275862,17.24137931,51.72413793,68.96551724,17.24137931
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",357,,,,,25,,25,,,50,,50,,100,,50,50,50,25,25
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",359,53.33333333,,13.33333333,26.66666667,66.66666667,80,53.33333333,80,133.3333333,66.66666667,53.33333333,133.3333333,93.33333333,146.6666667,160,146.6666667,226.6666667,200,186.6666667,40
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",360.01,,66.66666667,,,,,,66.66666667,66.66666667,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",361,14.92537313,,,14.92537313,14.92537313,44.7761194,44.7761194,44.7761194,29.85074627,29.85074627,,,14.92537313,14.92537313,59.70149254,14.92537313,44.7761194,74.62686567,44.7761194,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",362,28.30188679,28.30188679,18.86792453,47.16981132,9.433962264,28.30188679,28.30188679,18.86792453,,,28.30188679,9.433962264,9.433962264,18.86792453,18.86792453,37.73584906,56.60377358,66.03773585,103.7735849,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",363,5.988023952,5.988023952,,17.96407186,23.95209581,41.91616766,17.96407186,53.89221557,65.86826347,47.90419162,29.94011976,53.89221557,65.86826347,89.82035928,101.7964072,107.7844311,95.80838323,131.7365269,83.83233533,29.94011976
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",364,9.216589862,9.216589862,4.608294931,13.82488479,18.43317972,4.608294931,9.216589862,18.43317972,4.608294931,9.216589862,4.608294931,9.216589862,4.608294931,18.43317972,32.25806452,32.25806452,69.12442396,27.64976959,27.64976959,9.216589862
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",365.01,,,9.803921569,9.803921569,39.21568627,29.41176471,9.803921569,29.41176471,29.41176471,19.60784314,9.803921569,29.41176471,88.23529412,78.43137255,98.03921569,88.23529412,78.43137255,88.23529412,39.21568627,68.62745098
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",365.02,14.08450704,,,14.08450704,14.08450704,42.25352113,14.08450704,28.16901408,56.33802817,42.25352113,56.33802817,56.33802817,70.42253521,154.9295775,70.42253521,98.5915493,169.0140845,197.1830986,84.50704225,42.25352113
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",366,7.518796992,7.518796992,7.518796992,15.03759398,15.03759398,30.07518797,15.03759398,,,7.518796992,,,,,7.518796992,22.55639098,15.03759398,75.18796992,30.07518797,22.55639098
