"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",49,,13.33333333,,,,,,,,,26.66666667,,13.33333333,,,,40,,13.33333333,13.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",50,,,12.34567901,24.69135802,12.34567901,12.34567901,12.34567901,,,37.03703704,24.69135802,12.34567901,,12.34567901,,12.34567901,24.69135802,12.34567901,12.34567901,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",51,,45.45454545,22.72727273,22.72727273,,45.45454545,22.72727273,,,,,,22.72727273,22.72727273,68.18181818,68.18181818,45.45454545,68.18181818,22.72727273,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",52.01,10.20408163,,,10.20408163,10.20408163,10.20408163,,,10.20408163,,10.20408163,,,,10.20408163,,,10.20408163,,20.40816327
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",52.02,16.66666667,,,,16.66666667,16.66666667,,16.66666667,,,,16.66666667,,,16.66666667,50,66.66666667,,33.33333333,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",54,,14.70588235,,29.41176471,14.70588235,14.70588235,14.70588235,,44.11764706,14.70588235,,14.70588235,14.70588235,44.11764706,29.41176471,29.41176471,88.23529412,,29.41176471,14.70588235
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",55,,41.66666667,,,,,,,,41.66666667,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",56.01,18.69158879,,,,18.69158879,,,,,,,,,9.345794393,,,18.69158879,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",56.02,,,,,20.83333333,,20.83333333,,,20.83333333,,,,,20.83333333,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",57,52.63157895,17.54385965,,,17.54385965,17.54385965,122.8070175,70.1754386,70.1754386,70.1754386,,17.54385965,17.54385965,35.0877193,17.54385965,70.1754386,70.1754386,52.63157895,87.71929825,17.54385965
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",58,9.523809524,19.04761905,28.57142857,,9.523809524,19.04761905,28.57142857,,19.04761905,,9.523809524,9.523809524,,,19.04761905,28.57142857,28.57142857,28.57142857,9.523809524,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",59,21.73913043,21.73913043,,,21.73913043,43.47826087,,43.47826087,43.47826087,43.47826087,43.47826087,,86.95652174,21.73913043,43.47826087,21.73913043,43.47826087,21.73913043,21.73913043,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",60,12.82051282,,25.64102564,25.64102564,,,12.82051282,,12.82051282,,,25.64102564,,,25.64102564,38.46153846,25.64102564,,25.64102564,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",62,30.3030303,15.15151515,30.3030303,15.15151515,15.15151515,15.15151515,,,15.15151515,,,,,,,15.15151515,30.3030303,,,15.15151515
