latitude,longitude,Tract
40.70494301,-73.95107124,
40.62874213,-73.97586617,
40.68974578,-73.92633151,
40.64180245,-73.93498193,
40.68183117,-73.9431778,
40.69562998,-73.92542706,
40.6590574,-73.94245472,
40.62684132,-73.96074717,
40.65304953,-73.92857762,
40.63040765,-73.96331379,
40.6779586,-74.00139163,
40.65537015,-73.94046487,
40.69858153,-73.95319285,
40.6815645,-73.95454963,
40.70949192,-73.93598718,
40.68109039,-74.00088333,
40.65682931,-73.90939606,
40.64065599,-73.94169589,
40.61738981,-73.965583,
40.68919978,-73.93110268,
40.65596045,-73.93568895,
40.65614454,-73.90438371,
40.68832782,-73.96278072,
40.6781286,-73.94343693,
40.59288901,-73.94884172,
40.6716763,-73.95086854,
40.59230664,-73.95422152,
40.71185217,-73.94064167,
40.68074516,-73.93959134,
40.68525038,-73.97030383,
40.65159284,-73.92550511,
40.61153633,-73.96068054,
40.65675518,-73.90937814,
40.63214197,-73.97168571,
40.67526098,-73.9508695,
40.61783787,-73.96788085,
40.67386631,-73.95012428,
40.66828039,-73.90251347,
40.68413958,-73.94916472,
40.61089469,-73.97227099,
40.57922724,-73.96047996,
40.68019384,-73.97991442,
40.70341939,-73.95043399,
40.58751366,-73.946574,
40.69204447,-73.91252872,
40.69543837,-73.9220735,
40.70157986,-73.94331244,
40.68507847,-73.99573092,
40.65405599,-73.93644041,
40.67675608,-73.99149895,
40.58696305,-73.96338446,
40.70700314,-73.93244766,
40.6606237,-73.93072851,
40.66148032,-73.90764522,
40.65317168,-73.94066505,
40.67376199,-73.95686217,
40.69448519,-73.95047308,
40.5812289,-73.95493472,
40.70567875,-73.94528907,
40.68953298,-73.91618478,
40.65342477,-73.93659238,
40.68577337,-73.95064181,
40.68604848,-73.95214158,
40.64307751,-73.94292974,
40.67907085,-73.96649936,
40.67210127,-73.95651357,
40.65572302,-73.92440487,
40.68823206,-73.9331013,
40.67610314,-73.99991348,
40.62301989,-73.95880418,
40.69772757,-73.9221682,
40.57954228,-73.94004287,
40.68699171,-73.94393061,
40.68509887,-73.96824147,
40.58823325,-73.93666148,
40.69866054,-73.94008361,
40.68627798,-73.96436477,
40.68719649,-73.9846611,
40.67417672,-73.90648123,
40.69609224,-73.93646885,
40.64259796,-73.93910699,
40.57573086,-73.95441646,
40.68349711,-73.98985756,
40.69651946,-73.92569653,
40.68570878,-73.97039016,
40.57799397,-73.96643847,
40.57916805,-73.96414112,
40.6644401,-73.91231981,
40.61565878,-73.96886522,
40.66470451,-73.9211542,
40.69527789,-73.92854681,
40.67736094,-73.95836322,
40.62437972,-73.96217516,
40.69747799,-73.94094658,
40.67611961,-73.99997116,
40.67793004,-73.97017009,
40.69621699,-73.9248494,
40.58681895,-73.95931256,
40.6962251,-73.92897494,
40.62432025,-73.9650787,
40.6545614,-73.92776511,
40.66365174,-73.92295769,
40.68790326,-73.9294778,
40.68396325,-73.98546949,
40.61651087,-73.97369862,
40.68659493,-73.94085886,
40.68473726,-73.98535394,
40.68581973,-73.97531909,
40.58107428,-73.9526776,
40.68367917,-73.96595621,
40.69290335,-73.92804451,
40.68771344,-73.92446956,
40.58551935,-73.96359047,
40.69220076,-73.93757601,
40.66479734,-73.9961143,
40.67869813,-73.95252541,
40.65590977,-74.00277513,
40.58296634,-73.95489034,
40.57922711,-73.94658783,
40.65403766,-74.00691241,
40.63025697,-73.96423616,
40.5780817,-73.96610003,
40.69493717,-73.92795576,
40.63295057,-73.96746646,
40.67588586,-73.96306165,
40.67160503,-73.95803156,
40.61684413,-73.95888003,
40.68696643,-73.9725855,
40.66195058,-73.90877635,
40.62574731,-73.96432864,
40.58524495,-73.93320446,
40.64295377,-73.93238278,
40.68077479,-73.9750866,
40.67599543,-73.94824441,
40.67376663,-73.95464147,
40.64529133,-73.9307156,
40.67793073,-73.97299301,
40.65444371,-73.90891636,
40.68043196,-73.97635583,
40.66944306,-73.90781083,
40.65596473,-73.90944048,
40.70190677,-73.9438856,
40.68659012,-73.91555387,
40.63315082,-73.96702681,
40.69519054,-73.94432761,
40.69060168,-73.92559856,
40.67726216,-73.96690766,
40.68637109,-73.9558336,
40.67963431,-73.96928962,
40.68068531,-73.98081563,
40.68131815,-73.99641619,
40.68117548,-74.00000721,
40.69298237,-73.91510944,
40.64256836,-73.94578763,
40.61074871,-73.97026134,
40.66780088,-73.91026791,
40.6992221,-73.9242185,
40.64043468,-73.92456271,
40.67944973,-73.9783968,
40.57810526,-73.95478923,
40.65790481,-73.93761531,
40.6395016,-73.93370865,
40.66051206,-73.91196814,
40.68602513,-73.96330843,
40.65874136,-73.92722716,
40.67718433,-73.96365579,
40.6835051,-73.95468893,
40.67878902,-73.96967938,
40.64453361,-73.94574279,
40.67883457,-73.95750063,
40.67820914,-73.97861352,
40.70878218,-73.94343977,
40.68324795,-73.95692454,
40.6239639,-73.95825964,
40.65483906,-73.94322962,
40.6120298,-73.96754869,
40.6554921,-73.9281245,
40.66966405,-73.91686222,
40.6827229,-73.9483149,
40.65916669,-73.92705008,
40.68797698,-73.92883589,
40.65308756,-73.93246621,
40.65974457,-73.91707281,
40.67728861,-73.94324656,
40.67394583,-73.96472105,
40.69202459,-73.91913137,
40.5898167,-73.9605457,
40.67539152,-74.01291715,
40.65179768,-73.94290786,
40.68715557,-73.96205661,
40.68593214,-73.99749044,
40.62265681,-73.96476257,
40.67567157,-73.95482764,
40.66149038,-73.92963548,
40.68572263,-73.94191971,
40.68124073,-73.94832326,
40.68832572,-73.9648108,
40.6890942,-73.93853807,
40.58090665,-73.94598528,
40.58712118,-73.94101176,
40.64312704,-73.9284369,
40.68098029,-73.99158855,
40.61319008,-73.95689051,
40.58361831,-73.95875288,
40.67611137,-74.00001082,
40.7076943,-73.94719184,
40.67146108,-73.95479444,
40.6822492,-73.93940249,
40.6750789,-73.97294369,
40.67456878,-73.99742958,
40.67868296,-73.99220895,
40.6180603,-73.95950603,
40.65382722,-73.93006883,
40.62255092,-73.96875033,
40.68043773,-73.9777439,
40.68793877,-73.92918569,
40.68561903,-73.94920686,
40.66129562,-73.90665068,
40.61235552,-73.96448347,
40.69420347,-73.92661507,
40.68237523,-73.97620731,
40.61838901,-73.96591747,
40.68232305,-73.93890847,
40.68556689,-73.9738697,
40.58502866,-73.93415154,
40.6822771,-73.94582746,
40.5883096,-73.9357541,
40.65591726,-74.01343597,
40.58391126,-73.93863488,
40.64495758,-73.93259696,
40.64943274,-73.92144613,
40.62695724,-73.9723904,
40.64564933,-73.92389737,
40.64889241,-73.92617841,
40.58973979,-73.93602636,
40.6162806,-73.96457143,
40.70782814,-73.94579587,
40.65494616,-74.00729453,
40.66458031,-73.9201631,
40.64259669,-73.92746096,
40.6398964,-73.93781951,
40.65095895,-73.92161011,
40.68563182,-73.98358697,
40.68771876,-73.96362481,
40.67177311,-73.95262767,
40.63945826,-73.93471398,
40.69504014,-73.91778261,
40.68973571,-73.91949834,
