CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
110,2005,5,0,36047011000,11218,1,15897,2718,1,1041,175,0,1,0,0,0,0,0,-0.333333,1,1,1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2006,5,1,36047011000,11218,0,15743,2618,1,999,192,1,0,0,0,0,0,0,-0.333333,-1,0,-1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2007,5,0,36047011000,11218,1,15264,2492,1,941,156,0,1,0,0,-1,0,-0.333333,0,1,1,1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2008,5,1,36047011000,11218,0,15736,2512,1,976,161,1,0,0,0,0,0,-0.333333,0,-1,0,-1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2009,5,0,36047011000,11218,0,17856,2738,0,1115,188,0,0,0,0,-1,-1,-0.666666,-0.333333,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2010,5,0,36047011000,11218,0,19224,2915,0,1188,168,0,0,0,0,0,0,-0.333333,-0.333333,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
114,2001,0,18,36047011400,11219,6,16366,2705,101,2046,323,18,0,0,0,0,0,0,0,-12,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2002,0,6,36047011400,11219,18,16351,2614,82,2047,309,6,0,0,0,-0.666666,0,-0.333333,0,12,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2003,0,18,36047011400,11219,11,16278,2547,72,2047,315,18,0,0,0,2,0,0.444444,0,-7,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2004,0,11,36047011400,11219,12,16088,2606,84,2087,337,11,0,0,0,-0.388888,-0.388888,0.314814,-0.129629,1,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,0,12,36047011400,11219,11,15897,2615,90,2100,346,12,0,0,0,0.090909,1,0.56734,0.203703,-1,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,0,11,36047011400,11219,11,15743,2618,70,2134,367,11,0,0,0,-0.083333,-0.388888,-0.127104,0.074074,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,0,11,36047011400,11219,16,15264,2455,62,2052,298,11,0,0,0,0,0,0.002525,0.203703,5,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,0,16,36047011400,11219,16,15736,2796,65,2214,399,16,0,0,0,0.454545,0.333333,0.123737,-0.018518,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,0,16,36047011400,11219,15,17856,3070,87,2730,502,16,0,0,0,0,0.454545,0.151515,0.262626,-1,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,0,15,36047011400,11219,0,19224,3561,105,2922,484,15,0,0,0,-0.0625,0.363636,0.130681,0.383838,-15,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2001,1,26,36047011400,11219,18,16366,2936,101,2046,348,26,18,18,18,0,0,0,0,-8,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
