,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Hillcrest/Fresh Meadows,,134023,148712,137827,147374,,151246,,143686,,161047,,138004,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Jackson Heights,,136514,181370,181014,176387,,182141,,190173,,187902,,170161,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Jamaica,,198193,218993,224774,216115,,218120,,222807,,220918,,222074,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Kingsbridge Heights/Moshulu,,121080,132672,131535,124968,,121634,,122723,,130290,,124826,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Lower East Side/Chinatown,,163345,166379,145556,178669,,172403,,168794,,162014,,159009,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Middle Village/Ridgewood,,148800,167201,169055,179768,,187195,,167834,,187972,,180932,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Mid-Island,,114140,128177,131695,133736,,134188,,142188,,150278,,132502,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Morningside Heights/Hamilton Heights,,124430,129533,114405,122736,,130456,,123363,,132851,,138048,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Morrisania/Belmont,,121928,141685,140658,156950,,154519,,152922,,149921,,160651,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Mott Haven/Hunts Point,,118081,130448,135114,137900,,150667,,152295,,151980,,156790,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",North Crown Heights/Prospect Heights,,126696,123117,128655,127013,,129870,,122392,,125931,,119323,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",North Shore,,137973,162609,168545,168395,,182833,,179225,,179381,,172052,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Ozone Park/Woodhaven,,112488,143120,132751,138679,,146114,,155865,,146340,,135589,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Park Slope/Carroll Gardens,,102478,105555,112313,110032,,108989,,118144,,118886,,119558,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Pelham Parkway,,105991,119960,119613,121465,,126978,,130517,,126715,,123655,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Queens Village,,179171,196428,188995,213704,,202070,,203425,,201542,,207164,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Rego Park/Forest Hills,,105261,113422,116490,116418,,117931,,116831,,114945,,114462,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Riverdale/Kingsbridge,,99605,113003,100157,111199,,113170,,123077,,105102,,109153,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Rockaways,,100710,106738,111688,120268,,115052,,117954,,117525,,124031,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Sheepshead Bay/Gravesend,,134424,149351,151192,148784,,137489,,145146,,149806,,133282,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Soundview/Parkchester,,162991,175432,178944,180396,,166492,,183514,,182737,,182977,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",South Crown Heights,,119868,112670,108000,110333,,112052,,111833,,109170,,107419,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",South Ozone Park/Howard Beach,,107681,128079,124086,124623,,138052,,140123,,125305,,135257,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",South Shore,,123482,152942,155104,175246,,164592,,165994,,162071,,164809,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Stuyvesant Town/Turtle Bay,,139915,143441,146269,138971,,144403,,149132,,155527,,145044,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Sunnyside/Woodside,,112961,130166,138863,128673,,139138,,132863,,131011,,125229,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Sunset Park,,118694,139269,139547,153066,,146760,,147678,,158333,,141190,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Throgs Neck/Co-op City,,103136,111661,98174,114081,,123302,,116692,,114885,,109482,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",University Heights/Fordham,,122671,133890,131447,133858,,129263,,125990,,152903,,135266,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Upper East Side,,210970,217063,211724,214459,,218253,,232241,,234133,,218842,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Upper West Side,,194981,192213,208708,216812,,214490,,207754,,213137,,199843,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Washington Heights/Inwood,,205851,208414,215215,208867,,221756,,203239,,208123,,205414,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Williamsbridge/Baychester,,120290,136494,141185,147818,,148189,,145525,,145986,,137233,
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Williamsburg/Greenpoint,,134291,142098,132287,141513,,146456,,149665,,139263,,146253,
