CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip,Y,NeighborCount,NeighborPreviousCount,NeighborPreviousThreeCount,NeighborOneYearPercentGrowth,NeighborOnYearGrowth,NeighborThreeYearPercentGrowth,NeighborThreeYearGrowth
20,2006,5,6,4,8,2,2,-0.25,-2,2,4,2,4,36047002000,11220,1,120,133,85,-0.097744,-13,0.411765,35
20,2007,0,8,8,4,3,3,1,4,1.666667,5,1.666667,5,36047002000,11220,0,104,114,109,-0.087719,-10,-0.045872,-5
20,2007,1,5,8,7,8,8,-0.285714,-2,-0.375,-3,-0.375,-3,36047002000,11220,0,108,116,111,-0.068966,-8,-0.027027,-3
20,2007,2,8,5,6,5,5,0.333333,2,0.6,3,0.6,3,36047002000,11220,0,123,114,121,0.078947,9,0.016529,2
20,2007,3,6,8,9,5,5,-0.333333,-3,0.2,1,0.2,1,36047002000,11220,0,113,115,124,-0.017391,-2,-0.08871,-11
20,2007,4,11,6,4,7,7,1.75,7,0.571429,4,0.571429,4,36047002000,11220,0,104,108,132,-0.037037,-4,-0.212121,-28
20,2007,5,6,11,6,2,2,0,0,2,4,2,4,36047002000,11220,0,113,120,99,-0.058333,-7,0.141414,14
20,2008,0,6,6,8,7,7,-0.25,-2,-0.142857,-1,-0.142857,-1,36047002000,11220,0,113,104,123,0.086538,9,-0.081301,-10
20,2008,1,10,6,5,6,6,1,5,0.666667,4,0.666667,4,36047002000,11220,0,107,108,121,-0.009259,-1,-0.115702,-14
20,2008,2,6,10,8,10,10,-0.25,-2,-0.4,-4,-0.4,-4,36047002000,11220,0,109,123,117,-0.113821,-14,-0.068376,-8
20,2008,3,9,6,6,5,5,0.5,3,0.8,4,0.8,4,36047002000,11220,0,121,113,113,0.070796,8,0.070796,8
20,2008,4,7,9,11,5,5,-0.363636,-4,0.4,2,0.4,2,36047002000,11220,0,108,104,115,0.038462,4,-0.06087,-7
20,2008,5,11,7,6,8,8,0.833333,5,0.375,3,0.375,3,36047002000,11220,0,99,113,133,-0.123894,-14,-0.255639,-34
20,2009,0,6,6,6,4,4,0,0,0.5,2,0.5,2,36047002000,11220,0,123,113,114,0.088496,10,0.078947,9
20,2009,1,6,6,10,7,7,-0.4,-4,-0.142857,-1,-0.142857,-1,36047002000,11220,0,151,107,116,0.411215,44,0.301724,35
20,2009,2,8,6,6,6,6,0.333333,2,0.333333,2,0.333333,2,36047002000,11220,0,123,109,114,0.12844,14,0.078947,9
20,2009,3,5,8,9,9,9,-0.444444,-4,-0.444444,-4,-0.444444,-4,36047002000,11220,0,112,121,115,-0.07438,-9,-0.026087,-3
20,2009,4,9,5,7,4,4,0.285714,2,1.25,5,1.25,5,36047002000,11220,0,113,108,108,0.046296,5,0.046296,5
20,2009,5,7,9,11,6,6,-0.363636,-4,0.166667,1,0.166667,1,36047002000,11220,0,109,99,120,0.10101,10,-0.091667,-11
20,2010,0,4,4,6,8,8,-0.333333,-2,-0.5,-4,-0.5,-4,36047002000,11220,0,137,123,104,0.113821,14,0.317308,33
20,2010,1,5,4,6,5,5,-0.166667,-1,0,0,0,0,36047002000,11220,0,120,151,108,-0.205298,-31,0.111111,12
20,2010,2,6,5,8,8,8,-0.25,-2,-0.25,-2,-0.25,-2,36047002000,11220,0,153,123,123,0.243902,30,0.243902,30
20,2010,3,10,6,5,6,6,1,5,0.666667,4,0.666667,4,36047002000,11220,0,129,112,113,0.151786,17,0.141593,16
20,2010,4,5,10,9,11,11,-0.444444,-4,-0.545455,-6,-0.545455,-6,36047002000,11220,0,110,113,104,-0.026549,-3,0.057692,6
20,2010,5,5,5,7,6,6,-0.285714,-2,-0.166667,-1,-0.166667,-1,36047002000,11220,0,110,109,113,0.009174,1,-0.026549,-3
22,2001,0,49,49,49,49,49,0,0,0,0,0,0,36047002200,11220,0,245,245,245,0,0,0,0
22,2001,1,50,49,50,50,50,0,0,0,0,0,0,36047002200,11220,1,277,277,277,0,0,0,0
22,2001,2,61,50,61,61,61,0,0,0,0,0,0,36047002200,11220,0,259,259,259,0,0,0,0
22,2001,3,50,61,50,50,50,0,0,0,0,0,0,36047002200,11220,1,234,234,234,0,0,0,0
22,2001,4,47,50,47,47,47,0,0,0,0,0,0,36047002200,11220,1,218,218,218,0,0,0,0
22,2001,5,45,47,45,45,45,0,0,0,0,0,0,36047002200,11220,1,224,224,224,0,0,0,0
22,2002,0,52,52,49,52,52,0.061224,3,0,0,0,0,36047002200,11220,0,213,245,213,-0.130612,-32,0,0
22,2002,1,52,52,50,52,52,0.04,2,0,0,0,0,36047002200,11220,0,253,277,253,-0.086643,-24,0,0
22,2002,2,55,52,61,55,55,-0.098361,-6,0,0,0,0,36047002200,11220,0,265,259,265,0.023166,6,0,0
22,2002,3,54,55,50,54,54,0.08,4,0,0,0,0,36047002200,11220,0,265,234,265,0.132479,31,0,0
22,2002,4,51,54,47,51,51,0.085106,4,0,0,0,0,36047002200,11220,0,211,218,211,-0.03211,-7,0,0
22,2002,5,48,51,45,48,48,0.066667,3,0,0,0,0,36047002200,11220,1,201,224,201,-0.102679,-23,0,0
22,2003,0,38,38,52,38,38,-0.269231,-14,0,0,0,0,36047002200,11220,1,228,213,228,0.070423,15,0,0
22,2003,1,56,38,52,56,56,0.076923,4,0,0,0,0,36047002200,11220,0,224,253,224,-0.114625,-29,0,0
22,2003,2,52,56,55,52,52,-0.054545,-3,0,0,0,0,36047002200,11220,0,255,265,255,-0.037736,-10,0,0
22,2003,3,53,52,54,53,53,-0.018519,-1,0,0,0,0,36047002200,11220,0,247,265,247,-0.067925,-18,0,0
22,2003,4,54,53,51,54,54,0.058824,3,0,0,0,0,36047002200,11220,0,240,211,240,0.137441,29,0,0
22,2003,5,48,54,48,48,48,0,0,0,0,0,0,36047002200,11220,0,189,201,189,-0.059701,-12,0,0
22,2004,0,40,40,38,49,49,0.052632,2,-0.183673,-9,-0.183673,-9,36047002200,11220,1,216,228,245,-0.052632,-12,-0.118367,-29
22,2004,1,43,40,56,50,50,-0.232143,-13,-0.14,-7,-0.14,-7,36047002200,11220,1,219,224,277,-0.022321,-5,-0.209386,-58
22,2004,2,53,43,52,61,61,0.019231,1,-0.131148,-8,-0.131148,-8,36047002200,11220,0,226,255,259,-0.113725,-29,-0.127413,-33
22,2004,3,49,53,53,50,50,-0.075472,-4,-0.02,-1,-0.02,-1,36047002200,11220,0,231,247,234,-0.064777,-16,-0.012821,-3
22,2004,4,52,49,54,47,47,-0.037037,-2,0.106383,5,0.106383,5,36047002200,11220,0,222,240,218,-0.075,-18,0.018349,4
22,2004,5,52,52,48,45,45,0.083333,4,0.155556,7,0.155556,7,36047002200,11220,0,220,189,224,0.164021,31,-0.017857,-4
22,2005,0,48,48,40,52,52,0.2,8,-0.076923,-4,-0.076923,-4,36047002200,11220,0,231,216,213,0.069444,15,0.084507,18
22,2005,1,54,48,43,52,52,0.255814,11,0.038462,2,0.038462,2,36047002200,11220,0,229,219,253,0.045662,10,-0.094862,-24
22,2005,2,44,54,53,55,55,-0.169811,-9,-0.2,-11,-0.2,-11,36047002200,11220,0,231,226,265,0.022124,5,-0.128302,-34
