,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 18,0,0,1000,0,0,0,0,1000,,,,-,-,-1,-,-,-,-,-1,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 20,389.4736842,256.1403509,273.6842105,204.3010753,132.6164875,565.3710247,170.819,306.6202091,206.2937063,185.3146853,,-0.342342342266009,0.0684931504870521,-0.253515301716684,-0.350877192862235,3.26320313075703,-0.697863893731305,0.795000609416985,-0.327201207951952,-0.10169491535283,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 21,67.56756757,324.3243243,54.05405405,78.43137255,88.23529412,83.172147,53.642,8.985879332,,,,3.7999999994672,-0.833333333333333,0.450980392283824,0.125000000015938,-0.0573823340251366,-0.355048511612908,-0.832484259870997,-1,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 22,219.4513716,431.4214464,108.478803,108.478803,200.7481297,134.872418,192.444,170.0356718,186.2396204,211.1506524,,0.965909090722676,-0.748554913286759,0,0.850574712739041,-0.328151060726918,0.426859567387603,-0.1164407734198,0.0952973480709359,0.133757961632959,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 23,4.79616307,0,4.79616307,0,0,3.597122302,5.036,5.755395683,,,,-1,-,-1,-,-,0.4000080000616,0.142850612192216,-1,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 25,28.03738318,90.34267913,87.22741433,59.19003115,56.07476636,118.5647426,30.945,1.839802558,,0.844369389,,2.22222222202407,-0.0344827586474078,-0.321428571457232,-0.052631578822881,1.11440457618342,-0.739003355285823,-0.940546047568266,-1,-,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 27,466.6666667,1200,493.3333333,466.6666667,506.6666667,253.5211268,546.875,31.69572108,19.53125,22.13541667,,1.5714285712449,-0.588888888916667,-0.0540540539225712,0.0857142857081633,-0.499629355032919,1.15711805522,-0.942042110025143,-0.3837890625456,0.133333333504,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 29.01,1.25,0,0,0,0,0,0,6.25,,,,-1,-,-,-,-,-,-,-1,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 29.02,283.0188679,207.5471698,188.6792453,0,459.4594595,0,0,913.0434783,652.173913,,,-0.266666666643111,-0.090909090777686,-1,-,-1,-,-,-0.285714285792517,-1,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 30,13.60544218,44.21768707,68.02721088,34.01360544,20.40816327,47.45762712,109.215,10.20408163,17.00680272,,,2.2499999988975,0.538461538531124,-0.5,-0.3999999998236,1.32542372834515,1.30131607136282,-0.906568862976697,0.666666666993333,-1,-
