,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
137,736108,SACC,Registration ,10/29/2015 0:00,10/29/2015 0:00,10/28/2017 0:00,Brooklyn 20,13,13,40.631467,-73.977107,47800
138,737103,GFDC,License ,2/9/2016 0:00,2/9/2016 0:00,2/8/2018 0:00,Brooklyn 20,4,16,40.641441,-74.016006,7400
139,737753,GFDC,License ,8/31/2015 0:00,8/31/2015 0:00,8/30/2017 0:00,Brooklyn 20,4,16,40.615377,-74.000586,18800
140,737862,GFDC,License ,5/1/2015 0:00,5/1/2015 0:00,4/30/2017 0:00,Brooklyn 20,4,16,40.629524,-74.024583,13600
141,742123,GFDC,License ,12/11/2015 0:00,12/11/2015 0:00,12/10/2017 0:00,Brooklyn 20,4,16,40.636348,-73.985518,23200
142,742496,SACC,Registration ,2/1/2016 0:00,2/1/2016 0:00,1/31/2018 0:00,Brooklyn 20,100,100,40.62692,-73.98957,47000
143,742497,SACC,Registration ,10/22/2015 0:00,10/22/2015 0:00,10/21/2017 0:00,Brooklyn 20,197,197,40.606847,-74.007786,18000
144,745504,GFDC,License ,9/13/2016 0:00,9/13/2016 0:00,9/12/2018 0:00,Brooklyn 20,4,16,40.627009,-73.987613,47000
145,754351,GFDC,License ,3/11/2016 0:00,3/11/2016 0:00,3/10/2018 0:00,Brooklyn 20,4,16,40.633584,-73.983969,23200
146,755142,GFDC,License ,9/9/2016 0:00,9/9/2016 0:00,9/8/2018 0:00,Brooklyn 20,4,16,40.609805,-73.991378,26800
147,756459,GFDC,License ,7/20/2016 0:00,7/20/2016 0:00,7/19/2018 0:00,Brooklyn 20,4,16,40.63182,-73.991632,23800
148,758439,GFDC,License ,6/8/2016 0:00,6/8/2016 0:00,6/7/2018 0:00,Brooklyn 20,4,16,40.634391,-73.980204,47800
149,760750,GFDC,License ,5/12/2016 0:00,5/12/2016 0:00,5/11/2018 0:00,Brooklyn 20,4,16,40.612548,-73.988724,26600
