Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,47,3,20400,1960
Brooklyn,2000,47,3,20500,2444
Brooklyn,2000,47,3,20600,2192
Brooklyn,2000,47,3,20700,4659
Brooklyn,2000,47,3,20800,2657
Brooklyn,2000,47,3,21000,3307
Brooklyn,2000,47,3,21100,1533
Brooklyn,2000,47,3,21200,3638
Brooklyn,2000,47,3,21300,4735
Brooklyn,2000,47,3,21400,1811
Brooklyn,2000,47,3,21500,5617
Brooklyn,2000,47,3,21600,3601
Brooklyn,2000,47,3,21700,3843
Brooklyn,2000,47,3,21800,3785
Brooklyn,2000,47,3,21900,3820
Brooklyn,2000,47,3,22000,4452
Brooklyn,2000,47,3,22100,3928
Brooklyn,2000,47,3,22200,4719
Brooklyn,2000,47,3,22400,4943
Brooklyn,2000,47,3,22600,2544
Brooklyn,2000,47,3,22700,3406
Brooklyn,2000,47,3,22800,3426
Brooklyn,2000,47,3,22900,3153
Brooklyn,2000,47,3,23000,4176
Brooklyn,2000,47,3,23100,2774
Brooklyn,2000,47,3,23200,6059
Brooklyn,2000,47,3,23300,4875
Brooklyn,2000,47,3,23400,4710
Brooklyn,2000,47,3,23500,1953
Brooklyn,2000,47,3,23600,5222
Brooklyn,2000,47,3,23800,4470
Brooklyn,2000,47,3,24000,4634
Brooklyn,2000,47,3,24100,1564
Brooklyn,2000,47,3,24200,2808
Brooklyn,2000,47,3,24300,3954
Brooklyn,2000,47,3,24400,3069
Brooklyn,2000,47,3,24500,3555
Brooklyn,2000,47,3,24600,2911
Brooklyn,2000,47,3,24700,2349
Brooklyn,2000,47,3,24800,2448
Brooklyn,2000,47,3,24900,4240
Brooklyn,2000,47,3,25000,1532
Brooklyn,2000,47,3,25100,3779
Brooklyn,2000,47,3,25200,4654
Brooklyn,2000,47,3,25300,2528
Brooklyn,2000,47,3,25400,3379
Brooklyn,2000,47,3,25500,5077
Brooklyn,2000,47,3,25600,2956
Brooklyn,2000,47,3,25700,2026
Brooklyn,2000,47,3,25800,4329
Brooklyn,2000,47,3,25901,1887
Brooklyn,2000,47,3,25902,3595
Brooklyn,2000,47,3,26000,3463
Brooklyn,2000,47,3,26100,4445
Brooklyn,2000,47,3,26200,2364
Brooklyn,2000,47,3,26300,1877
Brooklyn,2000,47,3,26400,4440
Brooklyn,2000,47,3,26500,3717
Brooklyn,2000,47,3,26600,3399
Brooklyn,2000,47,3,26700,4151
Brooklyn,2000,47,3,26800,4017
Brooklyn,2000,47,3,26900,2809
Brooklyn,2000,47,3,27000,2337
Brooklyn,2000,47,3,27100,2810
Brooklyn,2000,47,3,27200,3449
Brooklyn,2000,47,3,27300,3061
Brooklyn,2000,47,3,27400,2885
Brooklyn,2000,47,3,27500,4171
Brooklyn,2000,47,3,27600,3331
Brooklyn,2000,47,3,27700,4001
Brooklyn,2000,47,3,27800,2758
Brooklyn,2000,47,3,27900,3791
Brooklyn,2000,47,3,28000,1685
Brooklyn,2000,47,3,28100,3579
Brooklyn,2000,47,3,28200,2890
Brooklyn,2000,47,3,28300,3624
Brooklyn,2000,47,3,28400,3826
Brooklyn,2000,47,3,28501,1422
Brooklyn,2000,47,3,28502,2921
Brooklyn,2000,47,3,28600,4984
Brooklyn,2000,47,3,28700,2755
Brooklyn,2000,47,3,28800,3503
Brooklyn,2000,47,3,28900,3432
Brooklyn,2000,47,3,29000,3802
Brooklyn,2000,47,3,29100,2777
Brooklyn,2000,47,3,29200,2442
Brooklyn,2000,47,3,29300,3277
Brooklyn,2000,47,3,29400,2351
Brooklyn,2000,47,3,29500,3745
Brooklyn,2000,47,3,29600,5343
Brooklyn,2000,47,3,29700,3349
Brooklyn,2000,47,3,29800,3355
Brooklyn,2000,47,3,29900,1657
Brooklyn,2000,47,3,30000,3576
Brooklyn,2000,47,3,30100,2650
Brooklyn,2000,47,3,30200,3711
Brooklyn,2000,47,3,30300,3409
Brooklyn,2000,47,3,30400,3966
Brooklyn,2000,47,3,30500,4777
Brooklyn,2000,47,3,30600,1918
Brooklyn,2000,47,3,30700,3734
Brooklyn,2000,47,3,30800,1691
Brooklyn,2000,47,3,30900,1593
Brooklyn,2000,47,3,31100,2650
Brooklyn,2000,47,3,31300,4782
Brooklyn,2000,47,3,31400,4508
Brooklyn,2000,47,3,31500,5371
Brooklyn,2000,47,3,31701,3673
Brooklyn,2000,47,3,31702,3579
Brooklyn,2000,47,3,31900,3850
Brooklyn,2000,47,3,32100,5612
Brooklyn,2000,47,3,32300,3763
Brooklyn,2000,47,3,32500,6641
Brooklyn,2000,47,3,32600,7247
Brooklyn,2000,47,3,32700,3868
Brooklyn,2000,47,3,32800,3304
Brooklyn,2000,47,3,32900,5856
Brooklyn,2000,47,3,33000,5288
Brooklyn,2000,47,3,33100,4725
Brooklyn,2000,47,3,33300,4491
Brooklyn,2000,47,3,33500,3120
Brooklyn,2000,47,3,33600,5159
Brooklyn,2000,47,3,33700,4541
Brooklyn,2000,47,3,33900,4541
Brooklyn,2000,47,3,34000,2511
Brooklyn,2000,47,3,34100,2779
Brooklyn,2000,47,3,34200,7462
Brooklyn,2000,47,3,34300,5434
Brooklyn,2000,47,3,34500,2529
Brooklyn,2000,47,3,34700,3140
Brooklyn,2000,47,3,34800,2029
Brooklyn,2000,47,3,34900,5572
Brooklyn,2000,47,3,35000,3584
Brooklyn,2000,47,3,35100,5052
Brooklyn,2000,47,3,35200,1267
Brooklyn,2000,47,3,35300,5558
Brooklyn,2000,47,3,35400,5622
Brooklyn,2000,47,3,35500,5433
Brooklyn,2000,47,3,35601,2931
Brooklyn,2000,47,3,35602,5233
Brooklyn,2000,47,3,35700,2295
Brooklyn,2000,47,3,35900,5257
Brooklyn,2000,47,3,36001,3475
Brooklyn,2000,47,3,36002,4230
Brooklyn,2000,47,3,36100,2533
Brooklyn,2000,47,3,36200,5084
Brooklyn,2000,47,3,36300,3664
Brooklyn,2000,47,3,36400,2641
Brooklyn,2000,47,3,36501,2349
Brooklyn,2000,47,3,36502,996
Brooklyn,2000,47,3,36600,4449
Brooklyn,2000,47,3,36700,1373
Brooklyn,2000,47,3,36900,4912
Brooklyn,2000,47,3,37000,4062
Brooklyn,2000,47,3,37100,3982
Brooklyn,2000,47,3,37300,4199
Brooklyn,2000,47,3,37401,4384
Brooklyn,2000,47,3,37402,4827
Brooklyn,2000,47,3,37500,2831
Brooklyn,2000,47,3,37700,3827
Brooklyn,2000,47,3,37900,2827
Brooklyn,2000,47,3,38100,4849
Brooklyn,2000,47,3,38200,6161
Brooklyn,2000,47,3,38300,3999
Brooklyn,2000,47,3,38500,3628
Brooklyn,2000,47,3,38600,3377
Brooklyn,2000,47,3,38700,3581
Brooklyn,2000,47,3,38800,3804
Brooklyn,2000,47,3,38900,2287
Brooklyn,2000,47,3,39000,2192
Brooklyn,2000,47,3,39100,1467
Brooklyn,2000,47,3,39200,2789
Brooklyn,2000,47,3,39300,2800
Brooklyn,2000,47,3,39400,2526
Brooklyn,2000,47,3,39500,3636
Brooklyn,2000,47,3,39600,2030
Brooklyn,2000,47,3,39700,3237
Brooklyn,2000,47,3,39800,2391
Brooklyn,2000,47,3,39900,3777
Brooklyn,2000,47,3,40000,2948
Brooklyn,2000,47,3,40100,3157
Brooklyn,2000,47,3,40200,2564
Brooklyn,2000,47,3,40300,2981
Brooklyn,2000,47,3,40400,2109
Brooklyn,2000,47,3,40500,1335
Brooklyn,2000,47,3,40600,3089
Brooklyn,2000,47,3,40700,0
Brooklyn,2000,47,3,40800,2921
Brooklyn,2000,47,3,40900,3507
Brooklyn,2000,47,3,41000,1749
Brooklyn,2000,47,3,41100,2837
Brooklyn,2000,47,3,41200,2708
Brooklyn,2000,47,3,41300,3249
Brooklyn,2000,47,3,41401,1390
Brooklyn,2000,47,3,41402,1918
Brooklyn,2000,47,3,41500,3638
Brooklyn,2000,47,3,41600,2483
Brooklyn,2000,47,3,41700,3197
Brooklyn,2000,47,3,41800,2527
Brooklyn,2000,47,3,41900,3908
Brooklyn,2000,47,3,42000,2256
Brooklyn,2000,47,3,42100,3481
Brooklyn,2000,47,3,42200,3674
Brooklyn,2000,47,3,42300,2634
Brooklyn,2000,47,3,42400,3692
Brooklyn,2000,47,3,42500,2260
Brooklyn,2000,47,3,42600,3823
Brooklyn,2000,47,3,42700,5599
Brooklyn,2000,47,3,42800,3655
Brooklyn,2000,47,3,42900,5829
Brooklyn,2000,47,3,43000,3291
Brooklyn,2000,47,3,43100,5276
Brooklyn,2000,47,3,43200,3860
Brooklyn,2000,47,3,43300,3668
Brooklyn,2000,47,3,43400,3529
Brooklyn,2000,47,3,43500,4494
Brooklyn,2000,47,3,43600,4020
Brooklyn,2000,47,3,43700,5027
Brooklyn,2000,47,3,43800,2674
Brooklyn,2000,47,3,43900,3778
Brooklyn,2000,47,3,44000,2726
Brooklyn,2000,47,3,44100,5630
Brooklyn,2000,47,3,44200,2739
Brooklyn,2000,47,3,44300,5210
Brooklyn,2000,47,3,44400,3201
Brooklyn,2000,47,3,44500,4576
Brooklyn,2000,47,3,44600,1819
Brooklyn,2000,47,3,44700,1883
Brooklyn,2000,47,3,44800,2061
Brooklyn,2000,47,3,44900,3100
Brooklyn,2000,47,3,45000,738
Brooklyn,2000,47,3,45200,2817
Brooklyn,2000,47,3,45300,1616
Brooklyn,2000,47,3,45400,2110
Brooklyn,2000,47,3,45600,2330
Brooklyn,2000,47,3,45800,1513
Brooklyn,2000,47,3,46000,3668
Brooklyn,2000,47,3,46201,2447
Brooklyn,2000,47,3,46202,1490
Brooklyn,2000,47,3,46400,2537
Brooklyn,2000,47,3,46800,982
Brooklyn,2000,47,3,47000,3020
Brooklyn,2000,47,3,47200,2969
Brooklyn,2000,47,3,47400,2983
Brooklyn,2000,47,3,47600,3794
Brooklyn,2000,47,3,47700,2276
Brooklyn,2000,47,3,47800,4916
Brooklyn,2000,47,3,48000,3442
Brooklyn,2000,47,3,48100,2772
Brooklyn,2000,47,3,48200,5310
Brooklyn,2000,47,3,48400,5244
Brooklyn,2000,47,3,48500,1613
Brooklyn,2000,47,3,48600,3576
Brooklyn,2000,47,3,48800,4393
