Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,47,3,101600,1572
Brooklyn,2000,47,3,101800,2020
Brooklyn,2000,47,3,102000,2055
Brooklyn,2000,47,3,102200,2106
Brooklyn,2000,47,3,102400,2044
Brooklyn,2000,47,3,102600,2775
Brooklyn,2000,47,3,102800,1772
Brooklyn,2000,47,3,103400,3899
Brooklyn,2000,47,3,105801,7858
Brooklyn,2000,47,3,105804,6763
Brooklyn,2000,47,3,107000,294
Brooklyn,2000,47,3,107800,4428
Brooklyn,2000,47,3,109800,1488
Brooklyn,2000,47,3,110400,4018
Brooklyn,2000,47,3,110600,4277
Brooklyn,2000,47,3,111000,3508
Brooklyn,2000,47,3,111600,2315
Brooklyn,2000,47,3,111800,2623
Brooklyn,2000,47,3,112000,3142
Brooklyn,2000,47,3,112200,2914
Brooklyn,2000,47,3,112400,3253
Brooklyn,2000,47,3,112600,3626
Brooklyn,2000,47,3,112800,3937
Brooklyn,2000,47,3,113000,3544
Brooklyn,2000,47,3,113200,1387
Brooklyn,2000,47,3,113400,2998
Brooklyn,2000,47,3,114201,1736
Brooklyn,2000,47,3,114202,2508
Brooklyn,2000,47,3,114400,2213
Brooklyn,2000,47,3,114600,3036
Brooklyn,2000,47,3,115000,1763
Brooklyn,2000,47,3,115200,2525
Brooklyn,2000,47,3,115600,4076
Brooklyn,2000,47,3,115800,2929
Brooklyn,2000,47,3,116000,2604
Brooklyn,2000,47,3,116200,2290
Brooklyn,2000,47,3,116400,2766
Brooklyn,2000,47,3,116600,2599
Brooklyn,2000,47,3,116800,1957
Brooklyn,2000,47,3,117000,1837
Brooklyn,2000,47,3,117201,2914
Brooklyn,2000,47,3,117202,4287
Brooklyn,2000,47,3,117400,4268
Brooklyn,2000,47,3,117601,2664
Brooklyn,2000,47,3,117602,3173
Brooklyn,2000,47,3,117800,1715
Brooklyn,2000,47,3,118000,0
Brooklyn,2000,47,3,118201,2902
Brooklyn,2000,47,3,118202,3057
Brooklyn,2000,47,3,118400,5106
Brooklyn,2000,47,3,118600,3133
Brooklyn,2000,47,3,118800,4560
Brooklyn,2000,47,3,119000,1986
Brooklyn,2000,47,3,119200,2400
Brooklyn,2000,47,3,119400,3371
Brooklyn,2000,47,3,119600,4972
Brooklyn,2000,47,3,119800,3190
Brooklyn,2000,47,3,120000,2247
Brooklyn,2000,47,3,120200,1916
Brooklyn,2000,47,3,120800,8483
Brooklyn,2000,47,3,121000,3986
Brooklyn,2000,47,3,121400,4384
Brooklyn,2000,47,3,122000,2555
Brooklyn,2000,47,3,123700,1838
Brooklyn,2000,47,3,150200,2237
Brooklyn,2000,47,3,152200,3407
Brooklyn,2000,47,3,990100,0
