CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
20,2009,4,9,5,7,4,4,0.285714,2,1.25,5,1.25,5,36047002000,11220
20,2009,5,7,9,11,6,6,-0.363636,-4,0.166667,1,0.166667,1,36047002000,11220
20,2010,0,4,4,6,8,8,-0.333333,-2,-0.5,-4,-0.5,-4,36047002000,11220
20,2010,1,5,4,6,5,5,-0.166667,-1,0,0,0,0,36047002000,11220
20,2010,2,6,5,8,8,8,-0.25,-2,-0.25,-2,-0.25,-2,36047002000,11220
20,2010,3,10,6,5,6,6,1,5,0.666667,4,0.666667,4,36047002000,11220
20,2010,4,5,10,9,11,11,-0.444444,-4,-0.545455,-6,-0.545455,-6,36047002000,11220
20,2010,5,5,5,7,6,6,-0.285714,-2,-0.166667,-1,-0.166667,-1,36047002000,11220
22,2001,0,49,49,49,49,49,0,0,0,0,0,0,36047002200,11220
22,2001,1,50,49,50,50,50,0,0,0,0,0,0,36047002200,11220
22,2001,2,61,50,61,61,61,0,0,0,0,0,0,36047002200,11220
22,2001,3,50,61,50,50,50,0,0,0,0,0,0,36047002200,11220
22,2001,4,47,50,47,47,47,0,0,0,0,0,0,36047002200,11220
22,2001,5,45,47,45,45,45,0,0,0,0,0,0,36047002200,11220
22,2002,0,52,52,49,52,52,0.061224,3,0,0,0,0,36047002200,11220
22,2002,1,52,52,50,52,52,0.04,2,0,0,0,0,36047002200,11220
22,2002,2,55,52,61,55,55,-0.098361,-6,0,0,0,0,36047002200,11220
22,2002,3,54,55,50,54,54,0.08,4,0,0,0,0,36047002200,11220
22,2002,4,51,54,47,51,51,0.085106,4,0,0,0,0,36047002200,11220
22,2002,5,48,51,45,48,48,0.066667,3,0,0,0,0,36047002200,11220
22,2003,0,38,38,52,38,38,-0.269231,-14,0,0,0,0,36047002200,11220
22,2003,1,56,38,52,56,56,0.076923,4,0,0,0,0,36047002200,11220
22,2003,2,52,56,55,52,52,-0.054545,-3,0,0,0,0,36047002200,11220
22,2003,3,53,52,54,53,53,-0.018519,-1,0,0,0,0,36047002200,11220
22,2003,4,54,53,51,54,54,0.058824,3,0,0,0,0,36047002200,11220
22,2003,5,48,54,48,48,48,0,0,0,0,0,0,36047002200,11220
22,2004,0,40,40,38,49,49,0.052632,2,-0.183673,-9,-0.183673,-9,36047002200,11220
22,2004,1,43,40,56,50,50,-0.232143,-13,-0.14,-7,-0.14,-7,36047002200,11220
22,2004,2,53,43,52,61,61,0.019231,1,-0.131148,-8,-0.131148,-8,36047002200,11220
22,2004,3,49,53,53,50,50,-0.075472,-4,-0.02,-1,-0.02,-1,36047002200,11220
22,2004,4,52,49,54,47,47,-0.037037,-2,0.106383,5,0.106383,5,36047002200,11220
22,2004,5,52,52,48,45,45,0.083333,4,0.155556,7,0.155556,7,36047002200,11220
