Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,1,0,0,2009,1058026.458,208589.6518,WINCHESTER BOULEVARD,UNION TURNPIKE
1,1,0,0,2009,1058021.779,208560.3342,WINCHESTER BOULEVARD,UNION TURNPIKE
1,1,0,0,2009,1058030.628,208615.4227,VANDERBILT MOTOR PARKWAY,WINCHESTER BOULEVARD
1,0,0,1,2013,988419.5159,193126.2746,CATHEDRAL PLACE,FLATBUSH AVENUE EXTENSION
1,0,0,1,2013,988443.2593,193125.2145,CATHEDRAL PLACE,FLATBUSH AVENUE EXTENSION
1,1,0,0,2009,1039533.69,228690.6181,POWELLS COVE BOULEVARD,161 STREET
1,0,0,1,2013,995262.8976,153250.4301,AVENUE Z,CONEY ISLAND AVENUE
1,0,0,1,2010,997470.9804,163371.6303,EAST 22 STREET,BAY AVENUE
1,1,0,0,2010,1046638.426,211833.2772,56 AVENUE,203 STREET
1,1,0,0,2011,1002908.436,161087.6159,AVENUE S,EAST 34 STREET
1,0,1,0,2012,1041972.803,203769.6155,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041983.019,203792.3913,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041963.413,203740.8691,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041954.309,203784.2713,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041992.445,203749.6811,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041956.333,203764.4583,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041987.35,203770.9377,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041968.056,203788.1131,UTOPIA PARKWAY,UNION TURNPIKE
1,0,1,0,2012,1041978.177,203745.1831,UTOPIA PARKWAY,UNION TURNPIKE
1,1,0,0,2012,1024140.067,254613.8169,ALLERTON AVENUE,LACONIA AVENUE
1,1,0,0,2010,1028363.244,201990.4035,72 AVENUE,110 STREET
1,0,0,1,2013,1043524.421,218863.7746,202 STREET,34 AVENUE
1,1,0,0,2015,985399.4465,192564.0969,HICKS STREET,MONTAGUE STREET
1,1,0,0,2015,994068.9174,167808.0811,AVENUE I,EAST 12 STREET
1,1,0,0,2014,1030606.435,247919.3881,EDISON AVENUE,BUHRE AVENUE
1,0,0,1,2015,1019192.675,244214.1199,BRONX RIVER PARKWAY EXIT 4 SB,EAST 177 STREET
1,0,0,1,2010,1006319.624,175972.9365,RALPH AVENUE,AVENUE A
1,1,0,0,2011,1040954.301,191412.4657,155 STREET,109 ROAD
1,1,0,0,2013,1027544.243,216837.4073,127 STREET,NORTHERN BL SR SOUTH
1,1,0,0,2016,1019241.707,239660.8386,MORRISON AVENUE,BRUCKNER BOULEVARD
1,1,0,0,2016,1019282.212,239534.6939,MORRISON AVENUE,BRUCKNER BOULEVARD
2,2,0,0,2013,1018402.254,207505.1556,QUEENS BOULEVARD,54 AVENUE
2,2,0,0,2013,1018355.052,207457.883,QUEENS BOULEVARD,54 AVENUE
2,2,0,0,2013,1018380.355,207483.4033,QUEENS BOULEVARD,54 AVENUE
1,0,1,0,2010,1009965.483,198471.2668,HARMAN STREET,TONSOR STREET
1,0,0,1,2010,1059771.815,218060.6856,254 STREET,THORNHILL AVENUE
1,1,0,0,2014,1014312.196,211534.3801,74 STREET,37 ROAD
1,0,1,0,2010,1016176.736,180127.8757,LINDEN BOULEVARD,HENDRIX STREET
1,0,1,0,2010,1016166.461,180146.0449,LINDEN BOULEVARD,HENDRIX STREET
1,0,1,0,2010,1016187.288,180109.211,LINDEN BOULEVARD,HENDRIX STREET
1,0,1,0,2010,1016147.501,180179.5714,LINDEN BOULEVARD,HENDRIX STREET
1,0,1,0,2010,1016207.255,180073.8892,LINDEN BOULEVARD,HENDRIX STREET
1,0,0,1,2011,1019541.201,207353.1713,56 AVENUE,90 STREET
1,1,0,0,2014,989214.8457,190428.6553,HANOVER PLACE,FULTON STREET
2,0,0,2,2009,1016594.954,216014.0001,85 STREET,31 AVENUE
1,1,0,0,2014,1022822.717,205110.7152,QUEENS BOULEVARD,64 AVENUE
1,1,0,0,2014,1022906.018,205148.9959,QUEENS BOULEVARD,64 AVENUE
1,1,0,0,2014,1022845.735,205123.3237,QUEENS BOULEVARD,64 AVENUE
