,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 25,28.03738318,90.34267913,87.22741433,59.19003115,56.07476636,118.5647426,30.945,1.839802558,,0.844369389
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 27,466.6666667,1200,493.3333333,466.6666667,506.6666667,253.5211268,546.875,31.69572108,19.53125,22.13541667
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 29.01,1.25,0,0,0,0,0,0,6.25,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 29.02,283.0188679,207.5471698,188.6792453,0,459.4594595,0,0,913.0434783,652.173913,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 30,13.60544218,44.21768707,68.02721088,34.01360544,20.40816327,47.45762712,109.215,10.20408163,17.00680272,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 31,63.69426752,76.43312102,63.69426752,0,82.80254777,0,70.064,0,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 32,0,0,0,0,0,0,0,0,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 33,58.1257414,60.49822064,155.3973903,56.90072639,135.5932203,72.81553398,95.445,18.00847458,50.67567568,52.36486486
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 34,47.83258595,64.27503737,44.84304933,91.04258443,44.05286344,63.89301634,240.964,211.3943028,116.6666667,172.7272727
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 35,111.5879828,124.4635193,60.08583691,64.3776824,40.77253219,92.07708779,121.076,53.81165919,105.1401869,149.5327103
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 36,45.00703235,97.0464135,45.00703235,75.94936709,123.769339,125.1758087,125.176,109.7046414,111.1111111,220.8157525
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 37,283.6879433,262.4113475,397.1631206,234.0425532,382.9787234,253.5211268,119.718,22.53521127,20.76677316,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 38,33.33333333,29.62962963,29.62962963,7.407407407,7.407407407,0,10.989,0,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 39,460.6365159,512.5628141,603.0150754,191.9191919,237.3737374,494.9152542,261.498,137.195122,169.0909091,158.1818182
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 40,0,0,128.5714286,0,0,0,0,0,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 41,127.0661157,136.3636364,75.41322314,73.19587629,57.73195876,78.4114053,63.336,31.39013453,68.93464637,18.8003581
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 42,0,12.98701299,25.97402597,52.2875817,150.3267974,32.67973856,25.974,38.96103896,162.3376623,103.8961039
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 43,126.1574074,215.2777778,170.1388889,39.00325027,94.25785482,298.9130435,177.335,233.7398374,155.4276316,101.9736842
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 45,27.00421941,131.6455696,74.26160338,58.08080808,48.82154882,59.32932072,92.882,120.4188482,53.1358885,27.00348432
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 46,0,7.874015748,62.99212598,35.97122302,0,71.94244604,319.149,92.19858156,70.92198582,113.4751773
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 47,621.5384615,864.6153846,892.3076923,762.611276,670.6231454,1159.159159,207.547,307.1672355,197.5308642,164.6090535
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 49,97.91921665,274.1738066,140.7588739,128.0788177,84.97536946,93.49112426,144.67,55.69620253,,30.76923077
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 50,17.82531194,55.25846702,26.73796791,17.82531194,10.69518717,8.912655972,25.316,23.50813743,,39.78300181
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 51,158.3333333,158.3333333,60,7.911392405,60.12658228,108.0617496,45.378,41.09589041,78.68852459,75.40983607
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 52.01,2.487562189,12.43781095,22.3880597,9.950248756,14.92537313,9.950248756,0,55.13784461,,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 52.02,8.620689655,75.43103448,34.48275862,84.05172414,64.65517241,75.10729614,49.462,95.33898305,80.50847458,108.0508475
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 54,40.25044723,32.20035778,22.36135957,37.56708408,38.46153846,93.63957597,33.599,23.87267905,244.9160035,53.93457118
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 55,166.6666667,83.33333333,0,527.027027,527.027027,410.9589041,410.959,845.0704225,757.1428571,471.4285714
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 56.01,62.5,69.64285714,58.92857143,47.95737123,71.04795737,67.4955595,37.367,31.91489362,72.69503546,23.04964539
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 56.02,186.8583162,63.6550308,67.76180698,125.2566735,24.64065708,61.18546845,99.029,84.14872798,117.6470588,78.43137255
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 57,206.8965517,396.5517241,325.6704981,318.0952381,152.3809524,99.23664122,92.476,22.09131075,41.32231405,29.51593861
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 58,53.81526104,101.2048193,60.24096386,71.48594378,60.24096386,82.67716535,90.202,81.14374034,94.20849421,71.04247104
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 59,291.4798206,345.2914798,85.20179372,61.67400881,112.3348018,412.2807018,287.582,311.3006397,79.88587732,108.4165478
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 60,269.2307692,493.5897436,200,319.9481865,177.4611399,235.7512953,190.722,187.3417722,496.2025316,129.1139241
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 62,71.50368034,30.49421661,24.18506835,52.57623554,49.42166141,93.29140461,155.391,57.08245243,116.2790698,164.9048626
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 63,75.94936709,158.2278481,26.58227848,29.0037831,22.69861286,57.8313253,50.188,22.5,62.34096692,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 64,33.08823529,52.69607843,57.59803922,26.99386503,176.6871166,278.5888078,266.504,87.91208791,72.03907204,54.94505495
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 65,147.7055449,85.56405354,29.63671128,32.38095238,53.80952381,37.78932452,143.464,111.6870877,133.4296724,92.48554913
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 66,42.25352113,59.65202983,40.5965203,22.36951118,52.1955261,104.0799334,114.498,113.410596,276.5780731,169.4352159
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 67,72.30769231,118.4615385,98.46153846,33.00076746,43.74520338,71.59353349,29.6,47.31861199,32.87890938,27.26543705
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 68,184.370258,138.8467375,122.15478,73.93292683,118.902439,253.968254,240.06,185.0746269,260.9992543,172.2595078
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 69,102.739726,141.2671233,99.31506849,28.8379983,91.60305344,178.5109983,179.205,173.254836,112.8747795,30.86419753
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 70,163.507109,52.13270142,52.13270142,68.72037915,56.87203791,52.13270142,51.402,77.10280374,73.45971564,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 71,67.21698113,154.4811321,125,38.95313451,17.04199635,49.30006086,44.525,31.64179104,21.47239264,
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 72,99.20634921,166.6666667,164.6825397,84.14872798,90.01956947,352.2504892,333.333,267.0565302,249.0272374,324.9027237
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 74,56.71077505,110.5860113,173.9130435,134.2155009,161.6257089,300.5671078,420.113,281.8096136,203.9660057,310.6704438
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 75,100.5878511,105.813194,29.39255389,26.62337662,64.28571429,26.42007926,17.666,61.71284635,43.30708661,49.21259843
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 76,253.3013205,217.2869148,157.2629052,197.8417266,214.6282974,360.4790419,406.139,301.050175,407.7201448,231.6043426
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 77,91.15281501,94.50402145,50.26809651,58.3501006,36.88799463,68.96551724,53.103,39.46441156,52.70457698,27.04576976
