"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,Zip Code,SubBorough,Zip Code,1990,2000,2005,2006,2006-Percent-Increase,2007,2007-Percent-Increase,2008,2008-Percent-Increase,2009,2009-Percent-Increase,2010,2010-Percent-Increase
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",11209,Bay Ridge,,107726,119871,124339,123447,-0.007173936,126730,0.026594409,121390,-0.042136826,128811,0.061133537,137599,0.068223987
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>","11204 ,11214",Bensonhurst,,149468,171778,181857,174593,-0.039943472,184258,0.055357317,183083,-0.006376928,163384,-0.107596008,164506,0.006867258
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",11219,Borough Park,,137257,158548,154525,155509,0.006367902,176198,0.133040531,170292,-0.033519109,163645,-0.039032955,168915,0.032203856
,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",11220,Sunset Park,,118694,139269,139547,153066,0.096877754,146760,-0.041197915,147678,0.00625511,158333,0.072150219,141190,-0.108271807
