"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,Zip Code,SubBorough,1990,2000,2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2008,Percent-Increase-2007-2008,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",,New York City,1.589193239,27.7184948,21.0292759,21.32782797,0.04822786,21.0622278,0.046303204,21.73570402,0.048996505,20.79910401,0.044024781,20.39642589,0.047148168
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",,Brooklyn,1.546957742,31.1878007,22.3752514,22.64443031,0.045229892,22.77543683,0.044416457,23.50012361,0.045304017,22.08027624,0.039981972,21.59044542,0.044284587
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",11209,Bay Ridge,0.476705015,22.0292379,17.6546798,17.61129478,0.056503012,18.23442703,0.058790824,19.51603666,0.058695848,17.34023799,0.04552729,22.99278168,0.076468295
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>","1,120,411,214",Bensonhurst,1.336546889,32.4932693,24.8298243,28.27726147,0.045865914,27.0287732,0.033802719,34.47279693,0.047187161,28.88336189,0.024304948,30.10642686,0.036088076
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",11219,Borough Park,1.501122335,31.6815351,25.321103,24.08743249,0.037568622,25.65432409,0.044216011,21.81202261,0.0331417,24.33077875,0.051140401,27.27115679,0.046067171
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",11220,Sunset Park,2.063535162,44.3680276,36.7602814,36.65310647,0.027123962,39.53498141,0.029427947,38.54432822,0.024660246,41.50267014,0.027935412,40.74826513,0.023656857
