"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,Zip Code,SubBorough,2006,2007,Percent-Increase-2006-2007,2008,Percent-Increase-2007-2008,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",,New York City,46480,48631,0.046277969,51116,0.051099093,50033,-0.021187104,48743,-0.025782983
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",,Brooklyn,40393,41406,0.025078603,43378,0.047625948,43166,-0.00488727,42143,-0.023699208
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",11209,Bay Ridge,55093,49228,-0.106456356,54839,0.113979849,52941,-0.034610405,48367,-0.086398066
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","11204 ,11214",Bensonhurst,38714,41494,0.071808648,38656,-0.068395431,38574,-0.002121275,38244,-0.008554985
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",11219,Borough Park,40040,38023,-0.050374625,40138,0.055624227,40976,0.020877971,36140,-0.118020305
,Median Household Income,"Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",11220,Sunset Park,46867,38589,-0.176627478,43906,0.137785379,39143,-0.108481756,40402,0.032164116
