"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,Zip Code,SubBorough,1990,2000,2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2008,Percent-Increase-2007-2008,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>",,New York City,19.286508,21.248095,19.0661939,19.17083088,0.00548809,18.50149631,-0.034914218,18.23334557,-0.014493462,18.72529585,0.026980802,20.11143532,0.07402497
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>",,Brooklyn,22.660954,25.071511,22.3573223,22.59364093,0.010570078,21.93409672,-0.029191586,21.13163936,-0.036584928,21.79403535,0.031346171,23.02012796,0.056258173
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>",11209,Bay Ridge,9.868022,13.9495248,13.8999027,13.65301365,-0.017761926,14.09134852,0.032105356,12.14784951,-0.137921435,15.55607331,0.280561905,,-1
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>","11204, 11214",Bensonhurst,14.176393,19.6500752,20.6239044,17.8825551,-0.132920966,14.46070184,-0.191351473,16.93481633,0.171092283,14.40910152,-0.149143325,13.95249383,-0.031688838
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>",11219,Borough Park,21.693301,28.4524789,28.2070212,24.52966668,-0.130370183,27.15806137,0.107151668,28.17919758,0.037599746,27.55517305,-0.022144865,32.22710701,0.169548344
,Poverty Rate,"Percentage of households that are below the poverty line. <i>Source: United States Census (2000), American Community Survey</i>",11220,Sunset Park,23.566131,26.3330324,27.9023063,20.81576841,-0.253976779,24.2827035,0.166553308,22.81583047,-0.060408143,27.56691682,0.208236398,26.70346706,-0.031321956
