CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2
18,2005,4,1,36047001800,11220,0,15892,2638,2,3148,501,1,0,0,0,0,0,-0.3333333,0,-1,0,-1
18,2006,4,0,36047001800,11220,1,15737,2542,1,3167,497,0,1,0,0,-1,-1,-0.6666667,-0.3333333,1,1,1
18,2007,4,1,36047001800,11220,0,15258,2501,1,3034,490,1,0,0,0,0,0,-0.3333333,-0.3333333,-1,0,-1
18,2008,4,0,36047001800,11220,0,15731,2528,1,3083,540,0,0,0,0,-1,-1,-0.6666667,-0.6666667,0,0,0
18,2009,4,0,36047001800,11220,0,17855,2848,0,3581,560,0,0,0,0,0,0,-0.3333333,-0.3333333,0,0,0
18,2010,4,0,36047001800,11220,0,19221,2880,0,3927,571,0,0,0,0,0,-1,-0.3333333,-0.6666667,0,0,0
18,2001,5,0,36047001800,11220,0,16345,2611,1,3382,519,0,0,0,0,0,0,0,0,0,0,0
18,2002,5,0,36047001800,11220,0,16334,2512,1,3329,488,0,0,0,0,0,0,0,0,0,0,0
18,2003,5,0,36047001800,11220,1,16266,2586,3,3277,509,0,1,0,0,0,0,0,0,1,1,1
18,2004,5,1,36047001800,11220,0,16081,2713,2,3191,521,1,0,0,0,0,0,0,0,-1,0,-1
18,2005,5,0,36047001800,11220,0,15892,2714,2,3148,496,0,1,0,0,-1,0,-0.3333333,0,0,0,0
18,2006,5,0,36047001800,11220,0,15737,2617,1,3167,495,0,0,0,0,0,0,-0.3333333,0,0,0,0
18,2007,5,0,36047001800,11220,1,15258,2491,1,3034,491,0,1,0,0,0,-1,-0.3333333,-0.3333333,1,1,1
18,2008,5,1,36047001800,11220,0,15731,2511,1,3083,478,1,0,0,0,0,0,0,-0.3333333,-1,0,-1
18,2009,5,0,36047001800,11220,0,17855,2738,0,3581,548,0,0,0,0,-1,0,-0.3333333,-0.3333333,0,0,0
18,2010,5,0,36047001800,11220,0,19221,2915,0,3927,577,0,0,0,0,0,0,-0.3333333,0,0,0,0
20,2001,0,4,36047002000,11220,7,16345,2702,31,3382,562,4,0,0,0,0,0,0,0,3,1,1
20,2002,0,7,36047002000,11220,5,16334,2613,26,3329,525,7,0,0,0,0.75,0,0.375,0,-2,0,-1
20,2003,0,5,36047002000,11220,3,16266,2546,29,3277,519,5,0,0,0,-0.2857143,0,0.1547619,0,-2,0,-1
20,2004,0,3,36047002000,11220,7,16081,2606,30,3191,535,3,0,0,0,-0.4,-0.25,0.02142857,-0.08333333,4,1,1
20,2005,0,7,36047002000,11220,4,15892,2615,41,3148,537,7,0,0,0,1.333333,0,0.215873,-0.08333333,-3,0,-1
20,2006,0,4,36047002000,11220,8,15737,2616,36,3167,529,4,0,0,0,-0.4285714,-0.2,0.168254,-0.15,4,1,1
20,2007,0,8,36047002000,11220,6,15258,2454,44,3034,446,8,0,0,0,1,1.666667,0.6349206,0.4888889,-2,0,-1
20,2008,0,6,36047002000,11220,6,15731,2796,49,3083,498,6,0,0,0,-0.25,-0.1428571,0.1071429,0.4412698,0,0,0
20,2009,0,6,36047002000,11220,4,17855,3070,41,3581,616,6,0,0,0,0,0.5,0.25,0.6746032,-2,0,-1
20,2010,0,4,36047002000,11220,0,19221,3560,35,3927,721,4,0,0,0,-0.3333333,-0.5,-0.1944444,-0.04761905,-4,0,-1
20,2001,1,6,36047002000,11220,3,16345,2934,31,3382,624,6,4,4,4,0,0,0,0,-3,0,-1
20,2002,1,3,36047002000,11220,7,16334,2841,26,3329,587,3,7,5,5,-0.5,0,-0.25,0,4,1,1
20,2003,1,7,36047002000,11220,8,16266,2716,29,3277,552,7,5,5,5,1.333333,0,0.2777778,0,1,1,1
20,2004,1,8,36047002000,11220,6,16081,2667,30,3191,537,8,3,5,4,0.1428571,0.3333333,0.3253968,0.1111111,-2,0,-1
20,2005,1,6,36047002000,11220,7,15892,2676,41,3148,556,6,7,5,5,-0.25,1,0.4087302,0.4444444,1,1,1
20,2006,1,7,36047002000,11220,5,15737,2707,36,3167,571,7,4,4,5,0.1666667,0,0.01984127,0.4444444,-2,0,-1
20,2007,1,5,36047002000,11220,10,15258,2639,44,3034,523,5,8,6,5,-0.2857143,-0.375,-0.1230159,0.2083333,5,1,1
20,2008,1,10,36047002000,11220,6,15731,2630,49,3083,517,10,6,6,5,1,0.6666667,0.2936508,0.09722222,-4,0,-1
20,2009,1,6,36047002000,11220,5,17855,3389,41,3581,669,6,6,6,6,-0.4,-0.1428571,0.1047619,0.04960317,-1,0,-1
20,2010,1,5,36047002000,11220,0,19221,3318,35,3927,676,5,4,5,5,-0.1666667,0,0.1444444,0.1746032,-5,0,-1
20,2001,2,1,36047002000,11220,5,16345,2877,31,3382,602,1,6,6,6,0,0,0,0,4,1,1
20,2002,2,5,36047002000,11220,4,16334,2880,26,3329,599,5,3,4,4,4,0,2,0,-1,0,-1
20,2003,2,4,36047002000,11220,5,16266,2821,29,3277,588,4,7,5,5,-0.2,0,1.266667,0,1,1,1
20,2004,2,5,36047002000,11220,10,16081,2640,30,3191,539,5,8,6,6,0.25,4,1.35,1.333333,5,1,1
20,2005,2,10,36047002000,11220,6,15892,2651,41,3148,539,10,6,7,6,1,1,0.35,1.666667,-4,0,-1
20,2006,2,6,36047002000,11220,8,15737,2635,36,3167,546,6,7,7,6,-0.4,0.5,0.2833333,1.833333,2,1,1
20,2007,2,8,36047002000,11220,6,15258,2650,44,3034,557,8,5,6,6,0.3333333,0.6,0.3111111,0.7,-2,0,-1
20,2008,2,6,36047002000,11220,8,15731,2627,49,3083,520,6,10,7,7,-0.25,-0.4,-0.1055556,0.2333333,2,1,1
20,2009,2,8,36047002000,11220,6,17855,2998,41,3581,623,8,6,7,6,0.3333333,0.3333333,0.1388889,0.1777778,-2,0,-1
20,2010,2,6,36047002000,11220,0,19221,3501,35,3927,711,6,5,7,6,-0.25,-0.25,-0.05555556,-0.1055556,-6,0,-1
20,2001,3,5,36047002000,11220,2,16345,2697,31,3382,556,5,1,1,1,0,0,0,0,-3,0,-1
20,2002,3,2,36047002000,11220,8,16334,2857,26,3329,592,2,5,3,3,-0.6,0,-0.3,0,6,1,1
20,2003,3,8,36047002000,11220,5,16266,2826,29,3277,553,8,4,3,3,3,0,0.8,0,-3,0,-1
20,2004,3,5,36047002000,11220,5,16081,2715,30,3191,544,5,5,4,3,-0.375,0,0.675,0,0,0,0
20,2005,3,5,36047002000,11220,9,15892,2598,41,3148,519,5,10,6,5,0,1.5,0.875,0.5,4,1,1
20,2006,3,9,36047002000,11220,6,15737,2620,36,3167,529,9,6,7,6,0.8,0.125,0.1416667,0.5416667,-3,0,-1
20,2007,3,6,36047002000,11220,9,15258,2523,44,3034,527,6,8,8,6,-0.3333333,0.2,0.1555556,0.6083333,3,1,1
20,2008,3,9,36047002000,11220,5,15731,2639,49,3083,530,9,6,6,7,0.5,0.8,0.3222222,0.375,-4,0,-1
20,2009,3,5,36047002000,11220,10,17855,2812,41,3581,565,5,8,7,7,-0.4444444,-0.4444444,-0.09259259,0.1851852,5,1,1
20,2010,3,10,36047002000,11220,0,19221,3047,35,3927,671,10,6,6,6,1,0.6666667,0.3518519,0.3407407,-10,0,-1
20,2001,4,8,36047002000,11220,3,16345,2524,31,3382,519,8,5,5,5,0,0,0,0,-5,0,-1
20,2002,4,3,36047002000,11220,3,16334,2631,26,3329,538,3,2,3,3,-0.625,0,-0.3125,0,0,0,0
20,2003,4,3,36047002000,11220,7,16266,2771,29,3277,556,3,8,5,5,0,0,-0.2083333,0,4,1,1
20,2004,4,7,36047002000,11220,5,16081,2740,30,3191,515,7,5,5,5,1.333333,-0.125,0.2361111,-0.04166667,-2,0,-1
20,2005,4,5,36047002000,11220,4,15892,2638,41,3148,501,5,5,6,5,-0.2857143,0.6666667,0.3492063,0.1805556,-1,0,-1
20,2006,4,4,36047002000,11220,11,15737,2542,36,3167,497,4,9,6,5,-0.2,0.3333333,0.2825397,0.2916667,7,1,1
20,2007,4,11,36047002000,11220,7,15258,2501,44,3034,490,11,6,6,6,1.75,0.5714286,0.4214286,0.5238095,-4,0,-1
20,2008,4,7,36047002000,11220,9,15731,2528,49,3083,540,7,9,8,6,-0.3636364,0.4,0.3954545,0.4349206,2,1,1
20,2009,4,9,36047002000,11220,5,17855,2848,41,3581,560,9,5,6,6,0.2857143,1.25,0.5573593,0.7404762,-4,0,-1
