"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,2000,2001,2002,2003,2004,2005,Percent-Increase-2004-2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 56.02,4.106776181,8.213552361,4.106776181,28.74743326,8.213552361,5.736137667,-0.301625239009053,5.825,0.0154916667204877,3.913894325,-0.328086811158798,19.60784314,4.00980392208213,15.68627451,-0.200000000102
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 58,8.032128514,9.638554217,5.62248996,5.62248996,16.86746988,10.23622047,-0.393138357867339,15.552,0.519310769593066,6.182380216,-0.602470407921811,20.84942085,2.37239382269659,15.44401544,-0.259259259472428
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 60,84.61538462,112.8205128,23.07692308,71.24352332,41.4507772,31.0880829,-0.25,56.701,0.823882166757861,37.97468354,-0.330264306802349,130.3797468,2.43333333278911,40.50632911,-0.689320388295155
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 62,26.28811777,5.257623554,10.51524711,7.360672976,4.206098843,10.48218029,1.49213836413877,47.569,3.53808260151572,11.62790698,-0.755557043873111,15.85623679,0.363636363558182,29.59830867,0.866666666372356
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 64,2.450980392,6.12745098,8.578431373,2.45398773,25.76687117,32.84671533,0.27476538044879,22.005,-0.330070000031263,12.21001221,-0.445125552828902,14.65201465,0.1999999998362,15.87301587,0.0833333332764583
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 66,9.113504557,3.314001657,4.142502071,1.657000829,6.628003314,9.991673605,0.507493755154752,17.298,0.731241500056986,22.35099338,0.292114312637299,50.66445183,1.26676510384256,32.39202658,-0.360655737701682
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 68,23.52048558,16.69195751,13.65705615,22.10365854,25.15243902,44.59561602,0.773013582680381,37.509,-0.158908355853226,31.34328358,-0.164379653416513,52.19985086,0.665423813263409,35.79418345,-0.314285714225506
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 70,11.84834123,16.58767773,0,21.32701422,11.84834123,0,-1,9.346,-,11.68224299,0.249972500534988,14.21800948,0.217061611556155,,-1
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 124,6.382978723,31.91489362,12.76595745,10.48218029,6.289308176,14.86199575,1.36305732428781,16.529,0.112165571706613,58.70020964,2.55134670215984,46.0251046,-0.215929468016121,18.82845188,-0.590909090948595
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 128.01,0,15.29051988,6.116207951,3.048780488,0,18.23708207,-,3.04,-0.833306666695282,0,-1,12.12121212,-,15.15151515,0.25
